GeneID	ACF001	ACF002	ACF004	ACF006	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
TERT	8.709352769	0	4.573473583	1.8794579	0	0.0273978	0	0	0	0
LOC100418884	0	0	0	0	38.9772899	2.117006931	0	0	0	0
CACNB4	0	0.649894033	0.416414657	0.649283966	0	0	0	0.013834138	0	0
AC007163.3	0	0	0	4.172396539	0	0	0	0	0	0
DUSP21	0	0	0	0	0	0	24.46600616	2.940878624	0	0
LOC100418910	23.63673045	0	15.65946917	0	0	0	0	0	0	0
SPRR4	0	0	0	0	16.04059757	0	0	0	0	33.45095664
GALNT14	12.02852444	3.523031115	2.245867565	2.633075957	0	0	0	0	0	0
PPP1R14BP1	0	0	0	0	0	0	0	11.10891203	34.01000404	0
RP11-43N5.1	7.006198331	0	1.148154755	0	0	0	0	0	0	0
ADAMTS12	0	1.229724322	0	0.466545553	0	0	0	0	0.043919186	0
ADAMTSL4	0	0	0	0	1.231007655	0	0	0	5.975248877	0
RPS2P40	16.49335147	0	0	0	0	0	0	0	0	0
LINC00311	0	0	0	0	0	3.449761714	10.95261884	0	0	0
PABPC1P13	0	0	0	0	0	0.840071431	9.033846287	1.729034162	3.459770562	0.294482726
GULP1	0	0	0	1.404198077	0	0	0	0	0	0
RCL1	0	3.676232103	0	0	0	0	0	0	0	0
GSDMA	0	0	0	1.695129765	0	0	0	0	0	0
GDF2	0	0	0	0	0	3.127396602	11.631561	0	0	0
TRMT11	0	0	0	0	20.69538385	1.4373534	5.387996922	1.392169084	0	4.505073038
TMEM145	0	0	0	0	31.49932707	0.370862528	0	0	0	12.13370243
RP11-402L6.1	0	2.790156105	0	0	0	0	0	0	0	0
PDE3B	0	0	0	0	0	0	0	1.897118936	3.787173575	0
PDE6C	0	3.246219587	0	0	0	0	0	0	0	0
KCTD19	2.827742934	1.095309652	4.504649436	0	0	0	0	0	0	0
IL13	16.26177555	0	0	3.125588333	0	0	0	0	0	0
DSCAM-AS1	5.59931084	0	0	0	0	0	0	0	0	0
ABCD1P5	9.451869321	0	5.983019803	0.879374808	0	0	0	0	0	0
TMEM39B	0	0	0	0	0	4.812667981	0	0	11.91379283	0
LOC101928047	0	2.989970983	0	0	0	0	0	0	0	0
TLR1	0	0	0	0	0	2.991013893	5.466367787	0	0	0
TLX1	0	0	0	0	0	0	4.149820052	0	0	9.275975441
HNRNPA3P8	0	0	0	3.991040083	0	0	0	0	0	0
MYT1	0	0	0.68453671	0.835314622	0	0	0	0	0	0
TACSTD2	3.234079673	0	1.371468639	0	0	0	0.101571023	0	0	0
ATP5S	0	0	0	0	13.07892093	0.97674015	9.775839886	4.552796167	3.975305267	18.12659524
REXO1L5P	1.167049068	1.280456821	1.657725892	0	0	0	0	0	0.017796824	0
ATOH1	10.83627572	0	25.97093714	0	0	0	0	0	0	0
PHKG1P2	0	0	0	1.767166813	0	0	0	0	0	0
TUBAP	0	0	0	3.828404712	0	0	0	0	0	0
ZNF503-AS2	0	0.438595647	0.769478207	0	0	0	0	0	0	0
LOC100506175	7.438807538	0	0	0	0	0	0	0	0	0
LOC101928325	43.29318245	0	0	0	0	0	0	0	0	0
LOC101928385	0	0	0	0	88.88479226	0	0	0	0	51.45267627
H2AFB1	0	45.20395309	23.08523923	0	0	0	0	0	0	0
LOC101928409	0	0	0	0	42.59304887	0	8.021833445	0	0	0
ZNF676	0	0	1.227047957	0	0	0	0	0	0	0
ZNF701	0.022407518	0.529242821	5.336493932	2.128898413	0	0	0	0	0	0
ACADM	0	0	0	0	0	2.507432162	0	8.98977075	0	0
FAM98B	0	4.32407102	2.288198116	0	0	0	0	0	0	0
ZNF580	0	0	1.928899989	0	0	0	0	0	0	0
LOC101928273	0	0	0	4.311349053	0	0	0	0	0	0
LOC101928281	0	0	5.683366038	0	0	0	0	0	0	0
LOC644090	0	0	0	0	14.13404737	0	0	4.501851113	0	0
KRT82	0	0	0	0	0	0	7.221885379	0	10.30872256	0
TUBBP6	0	0	18.63165543	7.462802428	0	0	0	0	0	0
SOCS5P4	0	0	0	0	14.32630383	1.194978657	0	0	0	0
GNAL	0	0	0	1.7967455	0	0	0	0	0	0
GLYATL1P3	0	0	0	0	34.57907431	1.626480935	0	1.647242277	2.858043112	0
FENDRR	0	0	16.74994401	0	0	0	0	0	0	0
ZNF345	0.037042637	1.910986484	0	0	0	0	0	0	0	0
MIR3661	0	0	191.4189256	0	0	0	0	0	0	0
LOC100421023	28.11338394	0	0	0	0	0	0	0	0	0
TRPM2-AS	0	0	0	0	18.10730193	0	27.90034118	0	0	0
LRP1B	0.968361	0.303276361	0	0.228409105	0	0	0	0	0	0
THBS2	1.962359061	2.806641381	0	1.48062038	0.02749062	0	0	0	0	0
LOC101928886	0	0.789411809	0	1.948480737	0	0	0	0	0	0
LOC101060120	0	0	11.48154755	0	0	0	0	0	0	0
GSN-AS1	1.458996169	4.437049885	6.880973648	0	0	0	0	0	0	0.032407732
DOC2GP	0	0	0	0	0	7.3558674	86.3157107	0	0	0
LOC101928676	0	0	0	3.567771883	0	0	0	0	0	0
ZNF135	0	0.907413852	9.269661185	1.998557238	0	0	0	0	0	0
VEPH1	3.222443196	0	0	0	0	0	0	0	0	0
LOC343508	0	0	0	0	84.1893734	0	24.63104833	0	0	0
APLP1	9.319625147	0	0	3.49118894	0	0	0	0	0	0
CCDC41-AS1	0	5.196075034	0	0	0	0	0	0	0	0
LOC283693	0	4.849502171	0	11.81244917	0	0	0	0	0	0
EIF1B-AS1	0	0	0	1.275790959	0	0	0	0	0	0
KCNH3	0	0	6.445349589	3.417885133	0	0.027743034	0	0	0	0
DGAT2	0	0	0	0	0	7.020457377	6.088963466	2.123568428	0	5.094947161
LOC100420255	0	0	0	0	0	0	30.38657387	5.149443599	0	0
ONECUT3	0	0	0	8.198739581	0	0	0	0	0	0
LOC102723643	0	0	0	0	0	0	46.87632329	0	50.99669699	0
AWAT1	0	0	0	0	22.88143178	0	5.716437507	0	0	0
KCNJ8	0	0	0	0	0	0	15.32825358	0	3.825877719	0
METTL21C	0	0	0	0	16.28460036	0	0	0	0	11.06559372
APOA2	0	0	0	0	0	13.03324351	0	0	40.94744521	0
APOA1	0	0	0	0	12.79545782	11.71485974	53.34531858	12.72215477	139.8816691	3.79704242
DCAF4L2	0	0	0	1.737622683	0	0	0	0	0	0
C6orf99	19.55123441	0	0	0	0	0	0	0	0	0
FAM46B	4.077186654	0	0	0	0	0	0	0	0	0
FLJ45256	11.69640067	0	0	1.139829473	0	0	0	0	0	0
FGF14-AS2	0	9.162627455	0	9.222339963	0	0	0	0	0	0
LOC102723422	0	0	0	0	0	6.360951315	0	2.029034493	0	0
LPPR1	0	0	0	0	15.21234633	0	7.886710672	0	0	0
LOC728947	0	0	0	0	32.28817644	0	0	0	2.959750751	0
LOC100420042	0	11.8499038	0	0	0	0	0	0	0	0
GNL3LP1	0	0	0	0	0	0	10.80343548	2.907738157	0	0
OGDHL	0	0.840600019	4.280401499	2.703781541	0	0	0	0	0	0
LOC101928976	0	0	0	0	55.06624958	0	0	0	0	7.769699437
LOC101928970	0	0	0	5.781961208	0	0	0	0	0	0
LOC101928987	0	5.51718007	0	0	0	0	0	0	0	0
ANKK1	0	0	0	0	0	4.02589285	8.441378804	0	0	0
XRCC6P4	13.48032283	4.323268871	0	0	0	0	0	0	0	0
LOC339257	0	0.966412653	0	0	0	0	0	0	0	0
LOC100420548	0	0	0	2.156719037	0	0	0	0	0	0
TTC21A	0	0	0	0	0.075991699	3.932508292	7.963168208	1.703975696	7.876242897	3.228640321
HPN-AS1	6.236667874	0	0	0	0	0	0	0	0	0
FAHD2P1	0	0	0	5.079370949	0	0	0	0	0	0
LRRC17	0	0	0	1.920442964	0	0	0	0	0	0
LRRC29	0	3.780376291	0	12.4845134	0	0	0	0	0	0
ANAPC1	0.110234752	0.469828492	2.139676723	0	0	0	0	0	0	0
PRG2	0	16.56003808	0	14.92600988	0	0	0	0	0	0
CLGN	5.007386843	0.77223782	2.58648333	0	0	0	0	0	0	0
S100Z	0	0	0	1.343640347	0	0	0	0	0	0
IMMTP1	0	1.491144445	0	5.520818525	0	0	0	0	0	0
LINC00966	0	2.999572248	0	0	0	0	0	0	0	0
PGDP2	0	0	0	0	23.92364401	2.337557752	0	0	0	0
NANOGP5	0	0	3.982338565	0	0	0	0	0	0	0
PRAMEF20	0	0	3.914654128	0	0	0	0	0	0	0
COMP	0.050608823	3.334338826	9.194134836	0	0	0	0	0	0	0
ATP1A4	0	1.418123793	0	4.801352614	0	0	0	0	0	0
OR4K17	0	7.997024205	0	0	0	0	0	0	0	0
OR4K15	23.70445747	0	0	0	0	0	0	0	0	0
EPN2-AS1	0	7.129680262	21.33252238	0	0	0	0	0	0	0
RP11-57H12.3	0	0	0	0	0	0	0	1.100326273	9.951845902	0
FOXO6	0	2.662655279	0	0	0	0	0	0	0	0
NPAT	0	0	0	0	4.492410893	2.715958033	0	2.480196816	6.010375414	0
CLTCL1	1.777515987	1.781520659	4.647097268	2.469712002	0	0	0	0	0	0.027637964
KRT18P55	0	0	0	0	0	2.032326653	11.97975525	0	0	0
FOXL1	2.917543139	2.176086509	3.444464265	0	0	0	0	0	0	0
FOXF2	0	0	0	1.973130013	0	0	0	0	0	0
C20orf57	0	0	0	3.713075364	0	0	0	0	0	0
PVT1	0	0	0	0	0	5.637044941	0	9.801824955	0	0
EVX1	0	0.033858726	15.05252053	1.894308753	0	0	0	0	0	0
PAIP1P1	4.321641014	0	12.35742017	0	0	0	0	0	0	0
LOC100128325	0	0	0	0	0	0	56.59650712	0	69.79432371	0
KCNJ16	2.362897052	0	0	0	0	0	0	0	0	0
AC104655.2	25.98802824	32.17122582	0	0	0	0	0	0	0	0
WNT7B	0	1.69473563	0	6.811954464	0	0	0	0	0	0
LOC100128681	0	0	0	0	26.94538978	2.387674484	0	0	0	0
LOC100128674	0	0	14.14381594	5.089242785	0	0	0	0	0	0
TSNAX-DISC1	0	0.432298961	0	1.838056912	0	0	0	0	0	0
LINC00574	10.20404838	0	0	2.882909702	0	0	0	0	0	0
NRG3	0	0	0	0	6.750772171	0.589316704	0	0	0	0
EXTL3-AS1	0	0	0	8.69369757	0	0	0	0	0	0
KCNK16	0	0	0	0	0	1.484459083	24.49584543	0	0	0
DNAI2	0	0	0	3.178337318	0	0	0	0	0	0
ABHD17AP4	0	0.102634967	17.39420078	0	0	0	0	0	0	0
TDGF1	0	0	0	0	0	2.797892709	9.336273263	2.198745788	0	10.48550381
CLDN19	0	1.862944318	0	3.914928547	0	0	0	0	0	0
RPL9P4	0	0	0	0	38.88044014	0	4.289167659	0	0	0
CHRNA3	2.281393287	0	0	0	0	0	0	0	0	0
LOC100887076	0	6.291495808	0	2.401569714	0	0	0	0	0	0
FLJ45513	0	0	0	0	32.7963887	0	0	0	0	7.791405264
HAP1	1.009397741	3.333027492	0	1.567011162	0	0	0	0	0	0
SPATA12	0	0	5.495726242	0	0	0	0	0	0	0
TEX101	0	0	0	1.50902779	0	0	0	0	0	0
SPATA41	0	2.052894455	0	0	0	0	0	0	0	0
CLCN1	0	0	0	4.708670957	0	0	0	0	0	0
RP11-231I16.1	0	0	2.030740604	0	0	0	0	0	0	0
RPS20P2	17.81738338	0	0	2.668385752	0	0	0	0	0	0
LINC00698	0	0	0	0	13.73686538	0	0	0	0	5.212526028
LINC00692	0	0	0	0	54.75998568	3.66947868	0	0	0	0
LINC00689	0	1.037884271	0	0	0	0	0	0	0	0
MYOZ3	0	1.145796224	0	4.940373308	0	0	0	0	0	0
DCSTAMP	0	0	0	0	0	2.03763173	0	0	12.9105107	0
SFXN2	0	0.030105456	0	0	0	4.619074451	0	3.404823363	4.671770593	2.229214312
OR56A4	0	0	0	0	0	3.809841252	0	0	27.54928962	0
CERS1	1.01874493	1.990067126	5.184201494	0.030124227	0	0.043035325	0	0	0	0
FGF23	0	0	0	0	7.553280236	0	4.323465841	0	0	0
PRDM12	0	2.414186933	0	0	0	0	0	0	0	0
LOC100500719	26.49959879	0	0	2.17472551	0	0	0	0	0	0
NPTX2	0	0	0	0	24.13464695	0	0	0	0	4.039594562
ARSH	0	0	0	6.02227718	0	0	0	0	0	0
CLIP1	3.150511257	0.953337753	1.740354836	0.476221419	0	0	0	0	0	0.257821996
VN1R71P	0	0	0	0	36.15457363	0	0	0	22.95565067	0
SOHLH1	0	0	0	1.163428897	0	0	0	0	0	0
AC011343.1	0	0	0	0.549725514	0	0	0	0	0	0
XRCC6BP1	19.89764421	1.329830645	0.326630232	3.78645958	0	0	0	0	0	0
FAXC	0.178002017	0.529479701	0.155283225	0	0	0	0	0	0	0
PCDHB11	6.866647235	0	0	2.77982798	0	0	0	0	0	0
PNPLA3	0	0	0	0	0	0	0	1.696287303	14.04247482	0
TAF5LP1	0	0	13.5318239	0	0	0	0	0	0	0
OR7E109P	0	0	0	3.661668243	0	0	0	0	0	0
HSPD1P19	0	0	7.508322858	2.877362013	0	0	0	0	0	0
LOC101929009	0	0	0	0	0	0	42.25512955	0	0	28.28392731
LOC101929000	0	0	0	0	36.53304112	8.539427619	0	0	0	0
LOC101929005	0	3.613930006	0	0	0	0	0	0	0	0
TPD52L3	0	0	0	3.385508729	0	0	0	0	0	0
TPD52L1	0	0	0	4.764175813	0	0	0	0	0	0
CALCA	0	0	0	0	0	2.225109412	0	0	30.32783346	0
MAST2	0	2.297608332	0	2.655784033	0	0	0	0	0	0
PRR16	0	2.404852469	0	7.207784975	0	0	0	0	0	0
LOC101929104	0	0	0	0	58.32483104	8.535021613	0	0	0	0
LINC01132	0	0	6.59288441	1.137683981	0	0	0	0	0	0
LINC01015	0	0	0	0.524578181	0	0	0	0	0	0
OPRD1	0	0	0	4.343730209	0	0	0	0	0	0
DNM1P38	0	0	0	0	0	1.371220075	0	0	6.672462013	0
KIR3DL2	0	0	0	0	5.863004122	1.630140121	5.024465888	3.183971473	0	5.877640263
HM13	0	0	0	0	0	4.085657451	0	14.46782356	5.919573321	17.72021631
RP11-996F15.2	3.488971857	0	0	0	0	0	0	0	0	0
TMEM220-AS1	0	0	51.85365581	14.72242022	0	0	0	0	0	0
LOC101929614	0	16.70653648	0	0	0	0	0	0	0	0
LOC101927143	0	0	0	0	25.58106625	0	0	9.034340289	0	0
RIMS4	1.500546755	3.715868431	0.036361907	2.203763592	0	0	0	0.043488583	0	0
LOC101927178	1.704103747	0	0	0	0	0	0	0	0	0
RPL34P19	0	0	0	13.82431824	0	0	0	0	0	0
MFAP5	0	0	0	0	11.04289527	0	4.107132997	0	0	0
ZACN	0	0	0	0	0	3.577387516	0	17.49617902	0	0
HMX2	8.460875103	0	19.89876315	0	0	0	0	0	0	0
GRHL3	2.638432529	3.360499189	0	0	0	0	0	0	0	0
DAOA	0	0	0	4.351850912	0	0	0	0	0	0
ZAR1	0	0	0	12.87814852	0	0	0	0	0	0
RAB30-AS1	0	0	0	0	0	4.825391726	47.84493232	0	0	0
SLC29A4	0	0	25.68753012	1.919114397	0	0	0	0	0	0
LOC101929456	0	0	0	1.913629862	0	0	0	0	0	0
OR2W2P	0	3.417159757	0	0	0	0	0	0	0	0
SLC6A3	0	0	0	1.449485325	0	0	0	0	0	0
LOC101929560	0	0	0	0	0	0	18.89125056	0	13.0229033	0
POU4F2	0	1.375132102	0	0	0	0	0	0	0	0
CREBRF	0	1.323998785	0	0	0	0	0	0	0	0
CCDC85A	0	0	0	0	0	1.354289144	0	0	0	5.774377679
LOC643353	29.70266497	11.37206193	0	0	0	0	0	0	0	0
FLJ36000	0	5.605036587	4.539111019	0.26375752	0	0	0	0	0	0
LOC101927578	3.975248175	0	3.01664864	2.309712219	0	0	0	0	0	0
AC012309.5	0	0	0	0	0	1.125606957	14.9197932	0	0	0
SIGLEC28P	0	5.668359493	0	0	0	0	0	0	0	0
LOC102723892	0	0.179372506	0	0.179204125	125.5780491	14.2085628	0	69.28995503	54.15184608	43.79460352
PCOLCE2	0	0	0	0.948987363	0.079641546	0	0	0	0	0
LOC102723860	0	0	0	0	0	0	284.7334515	0	0	278.4497775
LOC102723875	0	0	0	0	0	0	0	14.60153341	135.4077314	0
GLCCI1	0	1.785867687	3.912204407	4.179186737	0	0	0	0.023631155	0	0
LOC102723817	0	0	0	0	0	0	0	0	23.53686821	5.200004517
KIAA1217	0	0	0	0.31328278	0	0	0	0	0	0
CYP21A1P	0	0	0	0	0	0	0	0.489716538	0	4.639002101
LOC100507561	0	0	15.33543755	0	0	0	0	0	0	0
LOC101929949	6.496514115	0	0	13.50557342	0	0	0	0	0	0
