GeneID	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
ABCB5	1.539385287	0	2.174712673	0	1.555137448	0	3.562119663	0	0.779319236	0	2.820472095	0
ABCB6	9.333689036	1.50784641	17.76444211	28.62165114	2.885198294	0	0	8.900127216	21.2686626	2.139629647	11.32083242	2.710727478
ABCB7	0	1.403476329	0.074938898	7.391739193	3.566360581	23.0259653	13.62191778	1.567657031	2.580739697	2.509538969	0	0.793771509
ABCB8	23.97992479	12.15187166	16.52397166	11.76481057	3.336186621	21.0218553	37.2512189	3.568732697	4.222437208	2.44041213	8.824278168	13.69173645
ABCB9	0.281230221	0	7.406086055	0	1.506228442	0	0	0.015592686	7.333140129	0	0.493188823	2.711104189
ABCC1	5.19889238	1.633317285	0	1.181685601	3.110955223	0	0	10.17995228	0	4.055853657	1.458753962	1.998847113
ABCC10	3.584258305	1.550430966	0	0	0	0	0	0	0	0	0	2.108716241
ABCC11	0	0.269685935	2.649587896	0.652642558	0.950939209	0.029930913	0	0.871708736	3.722571728	0.326209097	0.581870504	0.730200465
ABCC12	0	0.611907367	2.639334073	0	0.924454718	0	3.816568366	0	0	0	0.968508141	0.985645308
ABCC13	0	3.396009923	0	11.92212513	0.027142576	0	0	3.76124796	0	4.828396922	0	0.326223379
ABCC2	0	0	3.60062786	0	0.594981822	0	0	0	0	0	0	0.030559895
ABCC3	26.95163776	35.25055145	55.92420446	45.72652896	30.66797971	26.16954888	13.92647904	4.3364629	31.2057012	8.201630262	29.61412245	22.40970221
ABCC4	4.927184269	5.319777766	0.940256804	0	11.20984217	0	0	7.055723596	0.504256758	5.797200067	0	1.34729753
ABCC5	9.28427943	3.305016953	3.47902019	0.299755155	8.176169175	10.78872775	6.790183243	0.496044134	5.403626786	1.386961173	6.327656213	5.118145829
ABCC5-AS1	0	5.920440055	0	0	0	0	0	1.056246528	0	0	0	0
ABCC6	0	3.783403268	0	2.411573275	0.692721829	0.056878679	16.0187367	0	4.400762575	1.749019538	0	0.392154461
ABCC6P1	3.730063217	0	5.069473616	0	0	0	0	0	0	0	0	0
ABCC8	0	1.992403799	0	6.554665601	2.925481045	1.253045094	2.689265907	1.217175413	3.953756427	0.620754845	0	0
ABCC9	0.514514754	0	1.095538825	0	0.479246384	1.841876233	0	0	0	0	0	0
ABCD1	6.130131852	18.14580046	13.5983012	8.371660785	1.913825717	10.28677458	27.57784161	9.043502314	19.64401328	6.060153056	4.870306934	13.31253742
ABCD1P1	0	3.772132227	0	0.453760634	0	0	0	0	0	12.10152382	1.960536652	0.794635927
ABCD1P2	5.377356177	0	3.653592453	0	0	0	0	1.231896414	0	0	0	0
ABCD1P3	0	0	0	62.24474375	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	3.710933931	0	0	0	0	2.385724534	0
ABCD1P5	9.451869321	0	5.983019803	0	0.879374808	6.333851516	0	0	0	0	0	0
ABCD2	0	1.213056525	3.014954211	0	0	2.533933976	0	0	0	0.721172779	0	1.213824604
ABCD3	0.652036466	4.458021868	0	5.265179395	2.493296335	4.265916668	7.734876822	2.131057862	0	4.668107333	8.30517158	1.750187827
ABCD4	26.72889696	8.868626668	13.50181986	9.381073512	0	28.02618094	6.298922286	3.434687836	21.79880813	10.40654107	25.09139147	4.547132303
ABCE1	0	2.464340431	1.174435837	8.910976004	0.459333416	0	6.476145183	2.427945478	4.365664974	3.052340674	2.179308982	0
ABCF1	0.017906614	0.011129896	3.007071978	0.050876192	1.367692091	0	0.023329342	3.566224951	2.824290023	5.329265439	3.391473792	4.521598824
ABCF2	5.04721709	10.2818337	5.446155701	2.252376573	6.399602178	24.85313645	0	9.118998338	2.644134248	3.715143721	7.970733764	10.58417489
ABCF2P2	0	12.03765774	0	0	0	0	0	0	0	0	0	0
ABCF3	14.08830007	22.85116453	48.39258018	15.21597723	20.46285365	17.65300133	16.90896544	14.01735149	31.09368613	21.09830352	4.992050751	13.0232085
ABCG1	0	0	0	0	1.06235469	0	0	0.776484748	0	0	0	0
ABCG2	0	2.036612673	0	11.37842425	1.252123611	0	0	0.534148894	0.047496087	0	3.094117086	2.438515463
ABCG4	2.425583167	0	0	0	0	7.699085858	1.93821412	3.614967269	0	0	0	0
ABCG5	0	0	0	0	5.877764506	0.212443943	3.127238668	0	0	0	2.144426403	0
ABCG8	12.42993121	2.027715146	0	0	3.025895947	0	5.971923325	0	0	1.998086934	0	0
ABHD1	0	6.094121373	0	0	0.046476341	0	0	7.934307037	1.269331482	0	0	0
ABHD10	1.990084664	5.689931118	3.105664502	17.96785383	5.629666305	0.051861761	0	8.297520393	3.600088264	2.906884769	3.024648313	5.996088789
ABHD11	83.94069658	57.72991299	139.828847	59.62298386	11.7609545	103.2350458	115.3815408	3.0578989	62.18577371	23.03102796	76.25984874	74.06923727
ABHD12	7.890971599	25.4315234	63.35672613	40.52170096	6.061539446	21.38649054	47.44317805	0	22.40361098	9.285007111	44.07744437	32.28213132
ABHD12B	1.34365277	0.942911704	5.161282465	6.526830835	1.291922161	5.997849766	0	0.557535182	3.234378984	0	0	4.690586276
ABHD13	0.02340491	3.825959384	3.430171883	0	0.944691683	0	0	0	0	0.662376563	2.996270934	0
ABHD14A	6.607831458	0	0	0	0	45.04942828	0.291827326	6.110278127	22.98291907	2.24939594	0	13.79191774
ABHD14A-ACY1	4.622936902	1.39564983	0	0	0	16.418898	0	0	4.032137175	0	0.115816694	2.793067046
ABHD14B	36.45895353	35.66914645	45.32078238	59.31658813	8.252802212	32.96237324	23.8826598	18.56572512	42.22920523	32.44762245	41.79152974	22.04209849
ABHD15	3.835261463	2.521343094	0	3.562391809	5.473048429	0.04324639	0.048045272	9.487210851	3.314746945	4.51131047	1.487444301	6.467899573
ABHD16A	5.439311483	1.070308629	7.26068789	2.951043279	3.021207876	7.692904001	12.99788626	1.733707438	16.17816096	0.524018269	0.047933826	7.003910559
ABHD16B	15.09237181	6.166939858	32.53428381	13.10233831	0.043388386	0.081939246	50.15847895	3.564105137	23.69990538	2.551526108	0.122533541	14.51452185
ABHD17A	145.2247938	147.1576684	62.68096124	75.70264413	190.2374937	67.67779787	70.17522151	72.33678471	96.60875452	158.9488597	69.88800575	154.0008839
ABHD17AP1	9.699979004	7.276431829	0.127658716	0	1.453920262	0	0.217887249	0.333813761	0.567264582	12.74868988	16.86405011	0.832118754
ABHD17AP3	0	6.780114734	0	0	0.050930452	0	0	0	0.278195849	0	0	0
ABHD17AP4	0	0.102634967	17.39420078	23.45788509	0	13.84560639	0	0	0	0	0	0
ABHD17AP5	0	0	0	0	45.79433421	59.04120656	0	21.80718758	18.84074764	30.42585532	86.63331388	24.10925402
ABHD17AP6	0.08487882	6.014254598	0.388739127	0	0.632485148	0	0.552914975	0.0752971	0.575800711	3.099528295	10.56839217	0.105580047
ABHD17AP8	0	0	0	0	0	0	0	2.476335305	1.7215146	0	9.123110739	0
ABHD17B	0	6.634586779	0.061032711	2.953244953	5.784298106	0	6.458559921	6.80934188	2.84765358	3.211766368	8.903893422	0.745931196
ABHD17C	5.994314903	18.46548738	13.72677391	6.57337651	2.905992321	40.01912769	56.58531853	0	1.159286897	7.056483305	22.49965029	14.06227805
ABHD2	0	1.410351431	0	0	5.534862552	0.015933877	0.017701997	1.39820276	0	0.645019542	0	1.960531188
ABHD3	1.191291214	3.578840231	13.26118742	0	1.017162616	11.35087985	0.064668935	0	3.030554301	0.725041659	2.785530475	2.963674153
ABHD4	0	1.86653825	5.323996288	13.21112929	8.752463782	0	12.43147959	4.769462921	6.818024302	0	7.899539366	4.157183446
ABHD5	2.990468092	0	2.052651038	0	0.734157756	0.027185522	0	1.552656307	3.027283262	1.904707328	0	2.854744041
ABHD6	3.586786073	0	0	8.209223904	0	0	0	1.171110217	0.084486214	2.68325082	0	5.453033535
ABHD8	30.22165212	26.9402055	0	11.63993727	12.49884467	17.61607535	12.06740901	13.14164972	13.09051233	4.282168888	0.104124195	24.59388689
ABI1	2.931589118	9.483388253	5.645222642	5.868312697	3.827030382	8.164976387	9.591835395	8.791972408	7.627233979	2.463438522	6.251085588	5.967129168
ABI1P1	0	0	0	0	0	0	0	0.901478227	0	0	0	0
ABI2	0.675641569	2.390464802	0	0	1.721240238	0	0	0	0	0.427023523	0	0
ABI3	29.06679014	34.19474436	17.33664684	28.58691996	25.35708634	0.06900147	42.77532716	50.91858396	0.199578151	53.87748813	32.91637852	12.80827645
ABI3BP	0	0.930821269	0.085734893	2.127452182	1.778524575	1.097632378	0.21949782	1.48628002	0	0.341794416	0.032828416	0.325993725
ABL1	0.422012701	0.655757332	0	0	2.319201833	3.414780802	0	0	0	0.443057042	0	1.86353002
ABL2	1.075802772	1.652744457	0	0.57671058	2.350744227	0	0	0.540202963	4.68175378	0.500330334	0.765326036	0.063121791
ABLIM1	12.10916726	13.32678796	3.122853837	16.16290902	5.748504371	8.667360106	8.189634771	14.31851686	0.430482218	8.696617778	9.295505567	8.599177878
ABLIM2	5.384259073	0	0	0.271557391	0	0.186808858	0	0	0	0	0	5.70668964
ABLIM3	15.15723384	11.44478542	0	0.079749381	35.15619316	0.032916557	23.58712021	21.12793029	0	12.58183437	0	5.795845461
ABO	0	0	0	0	0	22.48757477	0	8.296414748	8.530164805	0	0	0
ABR	19.96221338	40.31153069	14.59735785	17.57498205	14.2318599	45.34410978	33.98451999	9.226401277	19.52346785	19.39177088	10.44338584	19.35343991
ABRA	5.27191782	0.0280066	0	0	0	0	0	0	0	0	0	0
ABRACL	31.57391656	49.65540414	23.76476529	29.62439398	22.88935059	67.50940529	0.191328211	40.97222644	29.38900456	12.06615187	79.06415087	37.08246136
ABT1	13.59320806	18.09016086	5.439028158	0.934378126	16.81384289	21.01871949	0	16.53210359	2.695759556	19.11480742	11.34236266	3.477146409
ABTB1	46.72184525	84.21019366	60.56951748	6.033904537	68.78552747	26.65960771	64.14071779	74.90960269	46.41309825	44.23994952	74.06344703	57.51652727
ABTB2	0	0	0	0	0	0.20776437	0	0	0	0	2.574328975	0.031482364
AC000099.1	0	0	0	0	0	0	0	0	1.430918973	1.125767481	0	1.372430173
AC000124.1	0	6.850642714	0	0	3.381845877	0	0	0	0	0	0	0
AC002398.5	0	0	0	0	0	0	0	0	0	0	0.893918811	1.620371822
AC002454.1	1.01596473	0	0	0	3.244537849	0	0	0	0	0	0	0
AC002463.3	0	0	0	20.06994466	0	0	0	0	0	0	0	0
AC002480.3	0	2.376648851	0	0	0	0	0	0	0	0	0	0
AC002511.1	0.037467643	0	0	0	0	0	0	0	0	0	4.20520905	0
AC003102.3	0	0	0	0	0.397441405	0	0	0.52410725	0.876722546	0.359572336	0	0
AC003665.1	0	0	0	4.039551018	0	0	0	0	0	1.349899972	0	6.791187336
AC003958.2	0	0	0	0	0	0	0	0	0	0.996512696	0	0
AC004019.13	0	1.636603329	0	0	2.599337314	0	0	0	0	0	13.73442325	0
AC004053.1	3.621629195	0	0	3.075099743	0.620391336	0	0	0	0	0	1.241037458	2.330127909
AC004603.4	0	0	0	0	0	0	0	3.408912388	0	0	0	0
AC004893.11	0.654459721	5.288151628	0	6.921278892	0.677331737	0	11.22658783	1.515958083	0	0	1.594048992	0
AC005022.1	0	0	0	0	2.856342526	0	0	0	0	0	0	0
AC005062.2	0	0	0	0	0	0	0	3.214141909	0	2.342934192	0	0
AC005235.1	0	0	0	0	0.02741294	0	6.614129828	0	0	0	0	1.098242823
AC005264.2	1.598204354	4.101646325	0	0	1.984869955	10.03614487	0	0	0	0	0	0
AC005592.2	0	0	0	0	0	0	0	0	0	0	28.75560365	0
AC005594.3	0	0	0	2.755365779	0	0	0	0	13.22626045	1.217354625	0	0
AC006004.1	0	0	0	0	0	0	0	1.028345263	0	0	0	0
AC006145.4	0	1.163789927	0	0	0	0	0	0	0	0	0	0
AC006196.1	0	0	0	0	0.378263967	0	0	0	0	0	7.935636434	0
AC006272.1	7.118754541	6.234773139	0	0	0	0	0	0	0	0	0	0
AC006372.4	0	0.019049192	0	0	0	0	0	0.584542788	0	1.231084565	0	0
AC007038.7	0	0	0	0	4.897316371	0	0	0	1.364819454	0.073468067	0	0
AC007099.1	0	0	0	0	0	0	0	0.743185555	0	0	0	0
AC007131.1	0	0	0	0	0	0	0	0	0	1.335415629	0	0
AC007163.3	0	0	0	9.80322182	4.172396539	0	0	0	0	0	0	0
AC007246.3	0	6.71096895	0	0	0.826603057	0	0	1.661980809	0	0	8.559530102	1.839785802
AC007365.1	0	0.043551766	10.69709399	0	0	0	0	0	0	0	0	0
AC007386.2	0	0	0	0	0	0	0	0	0	1.00982816	2.227205883	0
AC007392.3	0	2.218122748	0	18.43513793	0	0	0	0	0	0	0	0
AC007461.2	0	0	0	0	0	0	0	0	0	1.153195804	14.55719846	0.074822118
AC007551.3	0	0	0	0	0	0	7.86994373	0	0	1.037705201	0	0
AC007743.1	0	0	0	0	0	0	6.067702587	0	0	0	0	0
AC007773.2	0	0	0	0	8.670012417	0	0	3.125423481	0	0	0	0
AC007966.1	0	0	0	0	0	0	0	0	0	1.022284947	0	0
AC008697.1	8.246675733	0	0	0	0	0	0	0	0	0	0	0
AC008703.1	4.008963352	0	0	0	0	0	0	0	0	0	0	0
AC009227.2	0	0	0	0	0	0	0	0	1.692907721	0	0	0
AC009264.1	0	0	0	0	0	0	0	0	6.431334532	0	3.961864703	0
AC009299.3	0	0	5.897757493	0	0	0	0	0	1.859300949	0	3.570535619	1.23382522
AC009501.4	0	0	0	8.349941338	0	7.24455407	7.188910178	1.542990068	2.542957465	0	0	0
AC009518.4	0	0	0	0	0	0	0	0	3.596060501	0	0	0
AC009948.5	3.285122015	0	1.61780986	0	2.698009163	0	0	1.057599534	0	0	0	0
AC010091.1	0	0	0.814994771	0	0.546979251	0	0	0	0	0.609204986	0	1.195286951
AC010127.3	0.053836371	0	1.068456377	0	0	0.0631341	16.69328269	0	0	0	0	0
AC010226.4	26.01464249	0	0	0	0	0	0	7.029483254	0	2.183860418	0	0
AC010524.2	0	0	0.870880484	0	0	4.459825335	0	0.624137501	0	0	0	0
AC010731.4	0	7.735439301	0	0	0	0	0	0	0	0	0	0
AC011298.2	10.18890551	4.607835788	0	0	0	0	0.71368013	0	8.670901227	0	0	5.360284697
AC011343.1	0	0	0	5.219097033	0.549725514	0	0	0	0	0	0	0
AC011518.1	0	0	0	0	2.782347407	0	0	0	0	0	0	0
AC011609.3	8.45467666	2.373236227	0	0	3.048439408	0	0	0	0	0	0	2.205114697
AC011738.4	0	1.534139331	0	0	1.717680145	0	0	0	0	0	0	0
AC011747.4	0	0	0.342926638	0	0.967690112	0.098783189	0	0.417222092	0	0	4.874835902	0.192096201
AC011747.7	24.23926381	0	0	0	3.029298237	0	0	0	0	6.541185112	16.84279215	0
AC011899.9	5.105632675	2.850696933	0	3.032348785	2.346482655	0.033827081	10.6353491	1.765648737	0	1.316687113	0	1.363460041
AC012309.5	0	0	0	0	0	0	0	1.125606957	14.9197932	0	0	0
AC012314.8	0.029844357	7.104583439	20.54832518	8.30977808	0.240921371	0	0	0	4.09977584	3.841648399	0	5.71696403
AC012494.1	0	0	0	0.958944731	0.908205858	0	0	0.099804497	0	0	0	0
AC012507.3	0	0	0	0	1.34332094	0	0	0	16.78749558	0	0	3.343200835
AC015922.6	0	0	0	0	0	0	0	0	0	0	0	26.4567389
AC016582.2	0	0	0	15.40961595	0	0	0	0	0	2.112592246	0	0
AC016629.8	2.476142522	0	2.326269036	3.517602584	0	2.512887387	0	0	0	0	0	0
AC016738.3	0	0	0	0	0	0	0	0	0	0	24.55629371	0
AC018464.3	8.424973228	0	0	0	0	0	0	0	0	0	0	0
AC018470.4	0	0	0	0	0.444137025	0	22.05328731	5.745677472	2.560773638	0	0	0
AC019118.2	0	0	0.242464421	0	1.314979077	0	0	0	0	0	0	0
AC020571.3	0	0	0	0	0	0	0	0	0	2.46623633	0	0.108397492
AC022007.5	0	0	0	16.35547556	0	0	0	0.203107676	7.765873055	0.597194302	0	0
AC024592.9	0	0	0	0	0	19.72170051	0	0	0	0	0	0
AC027269.2	0	0	0	0	0	0	0	0	0	0	0	10.94083381
AC037193.1	0	0	0	0	1.696967994	0	0	0	20.43458508	0.567005802	0	0
AC058791.1	0	0	0	0	0	7.250078625	0	0.568209221	0	0	0	0
AC068831.10	0	0	0	0	0	0.179659384	0	1.596902759	0	0	0	0
AC069277.1	0	0	0	0	3.669417805	0	0	0	0	0	0	0
AC073283.4	21.15782834	1.966819523	3.220574088	10.75344639	0	0.218286151	0	0.715548343	0	0	18.60647309	0
AC073321.3	0	0	0	15.78236206	0	0	0	0	0	0	0	0
AC074138.3	0	0	0	0	0	0	0	3.398577569	0	0	0	0
AC074286.1	0	0	0.254728917	0.541793335	0.207224133	3.633909545	0.496880027	0	0	0	0	0.593000495
AC074289.1	3.678641349	7.62155903	0	14.63243532	0	0	0	4.206121807	5.822870034	0.074629617	0	0
AC078941.1	0	0	0	0	1.431072944	0	0	0	0	0	0	0
AC079610.2	0	0	0	0	0	0	0	0	0	0	3.908578574	0
AC079776.3	0	0	0	8.968679226	0	0	0	0	0	0	0	0
AC087859.1	0	2.299818931	0	2.628192418	0	5.315453547	0	0	0	0	0	3.451912683
AC090505.6	0	0	0	0	0	0	0	1.46396805	0	0	0	3.555271297
AC091729.9	8.70194568	4.384578548	0	0	1.758579903	0	0	1.210471183	0	0	0.541791456	4.931771045
AC091969.1	0	0	0	0	1.592834096	0	5.049939839	0	0	0	0	0
AC092295.7	0	5.583748363	0	0	3.347104079	0	0	5.791117415	0	0	0	0
AC093391.2	0	0	0	6.002928709	0	0.991083546	53.5849295	0	0	0	0	0
AC093590.1	0	2.630185077	0	0	0	0	0	0	0	0	0	0
AC095067.1	0	2.653881511	3.499356126	0	0	0	20.37739002	0.996779794	0	0	0	0
AC097468.4	0	0	0	0	0	1.022246568	0	0	0	0	2.511414989	0
AC097500.2	0	0	9.080860336	0	0	0	0	0	0	0	0	0
AC097662.2	0	0	0	0	0	0	0	0	0	1.177250895	0	0
AC099342.1	0	0	0	19.76159858	1.645361721	0	0	0	0	0	0	0
AC104024.1	0	0	0	0	3.571055402	0	0	0	0	0	2.274079996	0
AC104134.2	2.344054694	0	0	10.09078457	0	0	0	0	0	0	0	0
AC104653.1	0	7.45155951	0	0	0	0	0	0	0	0	0	0
AC104655.2	25.98802824	32.17122582	0	0	0	0	0	0	0	0	0	0
AC104777.2	0	1.586538459	0	0	0	0	0	0	5.161479394	0	0	2.503433221
AC104777.4	0	0	6.440074831	0	0	0	0	0	11.62570996	0	0	0
AC105053.3	0	0	0	0	0	0	0	0	0	0.911259324	0	0
AC105253.1	0	0.604726979	0	0	0.750622174	0	0	0	1.600039229	0.161493598	0	0
AC105339.1	0	0	0	0	0	21.90340722	0	2.384352887	0	0	0	0
AC105760.3	0	0.96801657	0	0.790165874	0	0	0	0.641459742	0	0	0	0
AC107070.1	0	0	0	0	1.467159603	0	0	0.045564719	0	0	0	4.600073706
AC107622.1	0	0	0	0	0	0	0	1.213570852	0	0	0	0
AC108142.1	0	0	0	0	0.665498957	0	0	0	0	0	0	0
AC109828.1	0	8.070696325	0	0	0	0	0	0	0	0	0	0
AC116035.1	0	0	0	0	0	0	0	0	0	0	16.97741313	0
AC125421.1	0	0	1.83779015	0	0	0	0	0	0	0	0	0
AC131097.3	0	0	23.35179333	0	0	0	0	0	0	0	0	15.27501327
AC137932.6	0	4.608608109	0	12.28881704	16.24288346	0	2.012518739	0	0	0	0	0
AC145110.1	0	1.190600054	0	0	0	3.955520857	0	1.496112952	0	0	0	0
AC147651.4	0	0	0	0	3.672781158	0	0	6.306390949	0	0	0	5.093390502
AC226118.1	0	0	0	0	0	5.634444486	0	2.30261012	3.840080797	0	0	0
ACAA1	77.74952306	68.4014536	56.22946166	26.84190221	26.16158991	66.77340422	39.17061292	35.98693983	85.30795572	57.80939151	40.41186429	30.01406116
ACAA2	79.24232215	45.86334229	103.342833	71.28007085	22.43202002	113.2439356	90.44957107	20.32063943	70.94972295	50.08326479	73.02745598	49.24452109
ACACA	0	0	0	1.388729676	0	0	0	0.898184315	0	1.848642042	2.959283261	2.967588475
ACACB	6.374012042	5.544886684	7.42149625	3.783592136	3.339866008	9.885571332	0.774841381	1.76056984	13.61665495	5.736387889	2.017935151	5.258915964
ACAD10	21.57348042	14.36683362	18.31260707	11.16005884	0.412775999	5.952775484	17.20253518	2.479377486	19.882299	4.275530234	14.41259376	7.516826336
ACAD8	9.773769515	9.641272173	0	2.901258726	2.898725037	0	41.68510927	4.399923496	2.144135641	1.820061962	0	9.677619362
ACAD9	10.60537806	7.331063186	12.45821274	16.42707728	6.831799444	0.077488872	0	3.07743819	1.51285658	4.16232981	2.723141564	2.260301274
ACADL	0	0.819988597	0	2.459804741	1.766440664	0	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0	2.507432162	0	8.98977075	0	0
ACADS	75.41374679	87.5912343	222.6503857	121.7541328	38.42839429	161.1620583	89.90230205	27.01861845	144.6947838	30.84831001	75.03731595	103.5495175
ACADSB	0	1.700732745	0	1.127565771	0.025941011	0	16.7904112	1.028392864	0	1.773398688	2.747259321	0.441691044
