AccID	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
MBL1P	0	0	0	0	0	0	0	0	47	0	0	150
IFNL4P1	0	144	0	0	0	234	0	0	0	0	0	0
EEF1E1	0	40	88	78	55	213	0	0	0	0	0	0
PCDHGB9P	0	0	0	72	208	0	0	0	0	0	0	0
GYG1P1	151	0	0	0	0	108	0	0	0	0	0	0
CLCNKA	0	0	0	0	110	111	0	0	0	0	0	0
PSMA8	0	0	29	0	0	168	0	0	0	0	0	0
RP5-1109J22.2	0	0	0	0	0	0	249	0	0	0	56	0
LOC100996434	0	246	157	0	0	0	0	0	0	0	0	0
FLJ22763	0	104	117	0	0	0	0	0	0	0	0	0
TERT	282	0	97	75	98	150	0	2	0	0	0	0
LOC100418884	0	0	0	0	0	0	257	41	0	0	0	0
CACNB4	0	69	18	179	69	158	0	0	0	1	0	0
AC007163.3	0	0	0	57	111	0	0	0	0	0	0	0
DUSP21	0	0	0	0	0	0	0	0	103	23	0	0
LOC100418910	212	0	92	0	0	0	0	0	0	0	0	0
SPRR4	0	0	0	0	0	0	76	0	0	0	0	166
GALNT14	278	131	34	30	98	0	0	0	0	0	0	0
PPP1R14BP1	0	0	0	0	0	0	0	0	0	96	153	0
RP11-43N5.1	177	0	19	0	0	0	0	0	0	0	0	0
ADAMTS12	0	79	0	43	30	235	0	0	0	0	1	0
ADAMTSL4	0	0	0	0	0	0	33	0	0	0	119	0
RPS2P40	126	0	0	0	0	362	0	0	0	0	0	0
LINC00311	0	0	0	0	0	0	0	112	93	0	0	0
PABPC1P13	0	0	0	0	0	0	0	48	135	48	50	6
GULP1	0	0	0	143	73	0	0	0	0	0	0	0
RCL1	0	104	0	0	0	195	0	0	0	0	0	0
GSDMA	0	0	0	128	48	0	0	0	0	0	0	0
GDF2	0	0	0	0	0	0	0	110	107	0	0	0
TRMT11	0	0	0	0	0	0	250	51	50	24	0	57
TMEM145	0	0	0	0	0	0	347	12	0	0	0	140
RP11-402L6.1	0	87	0	0	0	142	0	0	0	0	0	0
PDE3B	0	0	0	0	0	0	0	0	0	102	106	0
PDE6C	0	125	0	0	0	155	0	0	0	0	0	0
KCTD19	69	43	72	0	0	247	0	0	0	0	0	0
IL13	168	0	0	0	52	0	0	0	0	0	0	0
DSCAM-AS1	74	0	0	0	0	208	0	0	0	0	0	0
ABCD1P5	287	0	119	0	43	164	0	0	0	0	0	0
TMEM39B	0	0	0	0	0	0	0	222	0	0	139	0
LOC101928047	0	54	0	0	0	184	0	0	0	0	0	0
TLR1	0	0	0	0	0	0	0	159	76	0	0	0
TLX1	0	0	0	0	0	0	0	0	42	0	0	128
MYL2	0	0	0	97	0	370	0	0	0	0	0	0
HNRNPA3P8	0	0	0	133	52	0	0	0	0	0	0	0
MYT1	0	0	20	151	60	127	0	0	0	0	0	0
TACSTD2	54	0	15	132	0	260	0	0	1	0	0	0
ATP5S	0	0	0	0	0	1	155	34	89	77	35	225
REXO1L5P	115	203	107	19	0	27	0	0	0	0	1	0
ATOH1	93	0	146	0	0	0	0	0	0	0	0	0
PHKG1P2	0	0	0	0	38	149	0	0	0	0	0	0
TUBAP	0	0	0	0	86	322	0	0	0	0	0	0
ZNF503-AS2	0	14	10	26	0	638	0	0	0	0	0	0
LOC100506175	66	0	0	0	0	236	0	0	0	0	0	0
LOC101928325	202	0	0	20	0	0	0	0	0	0	0	0
LOC101928385	0	0	0	0	0	0	127	0	0	0	0	77
H2AFB1	0	303	63	0	0	0	0	0	0	0	0	0
LOC101928409	0	0	0	0	0	0	235	0	34	0	0	0
ZNF676	0	0	23	0	0	193	0	0	0	0	0	0
LOC101928180	0	0	0	20	0	192	0	0	0	0	0	0
C2orf71	0	0	0	57	0	160	0	0	0	0	0	0
ZNF701	1	38	156	20	153	0	0	0	0	0	0	0
LOC152586	0	0	0	78	0	36	0	0	0	0	0	0
ACADM	0	0	0	0	0	0	0	124	0	216	0	0
FAM98B	0	246	53	0	0	0	0	0	0	0	0	0
LOC101060711	0	0	0	160	0	171	0	0	0	0	0	0
ZNF580	0	0	28	0	0	278	0	0	0	0	0	0
LOC101928273	0	0	0	72	71	0	0	0	0	0	0	0
LOC101928281	0	0	39	0	0	178	0	0	0	0	0	0
LOC644090	0	0	0	0	0	0	187	0	0	85	0	0
KRT82	0	0	0	0	0	0	0	0	92	0	127	0
TUBBP6	0	0	131	0	129	0	0	0	0	0	0	0
SOCS5P4	0	0	0	0	0	0	200	49	0	0	0	0
GNAL	0	0	0	0	151	140	0	0	0	0	0	0
LOC101928730	0	0	0	61	0	322	0	0	0	0	0	0
GLYATL1P3	0	0	0	0	0	1	456	63	0	31	28	0
FENDRR	0	0	274	0	0	73	0	0	0	0	0	0
ZNF345	1	83	0	109	0	0	0	0	0	0	0	0
MIR3661	0	0	97	0	0	196	0	0	0	0	0	0
LOC100421023	157	0	0	0	0	136	0	0	0	0	0	0
TRPM2-AS	0	0	0	0	0	0	98	0	116	0	0	0
LRP1B	129	65	0	0	49	186	0	0	0	0	0	0
THBS2	93	214	0	71	113	216	1	0	0	0	0	0
LOC101928886	0	17	0	38	42	366	0	0	0	0	0	0
LOC101060120	0	0	32	0	0	191	0	0	0	0	0	0
GSN-AS1	56	274	173	86	0	0	0	0	0	0	0	1
DOC2GP	0	0	0	0	0	0	0	58	178	0	0	0
LOC101928676	0	0	0	135	117	0	0	0	0	0	0	0
ZNF135	0	44	183	94	97	334	0	0	0	0	0	0
VEPH1	112	0	0	62	0	0	0	0	0	0	0	0
LOC343508	0	0	0	0	0	0	703	0	158	0	0	0
APLP1	184	0	0	0	111	0	0	0	0	0	0	0
AGTR1	0	0	0	44	0	120	0	0	0	0	0	0
CCDC41-AS1	0	173	0	0	0	305	0	0	0	0	0	0
LOC283693	0	105	0	0	256	0	0	0	0	0	0	0
EIF1B-AS1	0	0	0	114	35	0	0	0	0	0	0	0
KCNH3	0	0	135	17	176	335	0	2	0	0	0	0
DGAT2	0	0	0	0	0	0	0	313	71	46	0	81
LOC100420255	0	0	0	0	0	0	0	0	108	34	0	0
ONECUT3	0	0	0	0	158	204	0	0	0	0	0	0
LOC102723643	0	0	0	0	0	0	0	0	96	0	101	0
AWAT1	0	0	0	0	0	0	198	0	38	0	0	0
KCNJ8	0	0	0	0	0	0	0	0	174	0	42	0
METTL21C	0	0	0	0	0	0	111	0	0	0	0	79
APOA2	0	0	0	0	0	0	0	112	0	0	89	0
APOA1	0	0	0	0	0	0	74	199	237	105	601	23
DCAF4L2	0	0	0	0	75	150	0	0	0	0	0	0
C6orf99	170	0	0	0	0	449	0	0	0	0	0	0
FAM46B	78	0	0	66	0	0	0	0	0	0	0	0
FLJ45256	274	0	0	0	43	0	0	0	0	0	0	0
FGF14-AS2	0	134	0	0	135	0	0	0	0	0	0	0
LOC102723422	0	0	0	0	0	0	0	271	0	42	0	0
LPPR1	0	0	0	0	0	0	231	0	92	0	0	0
LOC728947	0	0	0	0	0	0	279	0	0	0	19	0
LOC100420042	0	112	0	0	0	222	0	0	0	0	0	0
GNL3LP1	0	0	0	0	0	0	0	0	102	51	0	0
OGDHL	0	41	85	163	132	0	0	0	0	0	0	0
LOC101928976	0	0	0	0	0	0	203	0	0	0	0	30
LOC101928970	0	0	0	0	55	244	0	0	0	0	0	0
LOC101928987	0	50	0	0	0	192	0	0	0	0	0	0
ANKK1	0	0	0	0	0	0	0	186	102	0	0	0
XRCC6P4	219	113	0	0	0	0	0	0	0	0	0	0
RPL7P5	0	0	0	76	0	97	0	0	0	0	0	0
LOC339257	0	37	0	90	0	0	0	0	0	0	0	0
LOC100420548	0	0	0	163	48	0	0	0	0	0	0	0
TTC21A	0	0	0	1	0	0	2	304	161	64	154	89
HPN-AS1	185	0	0	132	0	0	0	0	0	0	0	0
FAHD2P1	0	0	0	71	82	0	0	0	0	0	0	0
LRRC17	0	0	0	91	64	0	0	0	0	0	0	0
LRRC29	0	72	0	70	238	69	0	0	0	0	0	0
ANAPC1	7	48	89	25	0	164	0	0	0	0	0	0
PRG2	0	184	0	90	166	243	0	0	0	0	0	0
CLGN	133	33	45	0	0	497	0	0	0	0	0	0
PLA2G2F	0	0	0	35	0	484	0	0	0	0	0	0
S100Z	0	0	0	0	20	158	0	0	0	0	0	0
IMMTP1	0	51	0	0	189	0	0	0	0	0	0	0
LINC00966	0	255	0	82	0	0	0	0	0	0	0	0
PGDP2	0	0	0	0	0	0	223	64	0	0	0	0
NANOGP5	0	0	42	77	0	0	0	0	0	0	0	0
PRAMEF20	0	0	33	0	0	331	0	0	0	0	0	0
COMP	1	106	119	0	0	443	0	0	0	0	0	0
ATP1A4	0	72	0	0	244	0	0	0	0	0	0	0
OR4K17	0	107	0	0	0	233	0	0	0	0	0	0
OR4K15	200	0	0	0	0	242	0	0	0	0	0	0
EPN2-AS1	0	110	134	0	0	0	0	0	0	0	0	0
RP11-57H12.3	0	0	0	0	0	0	0	0	0	24	113	0
FOXO6	0	92	0	0	0	386	0	0	0	0	0	0
NPAT	0	0	0	0	0	1	165	293	0	130	164	0
CLTCL1	80	129	137	82	179	0	0	0	0	0	0	1
KRT18P55	0	0	0	0	0	0	0	72	111	0	0	0
FOXL1	75	90	58	23	0	209	0	0	0	0	0	0
FOXF2	0	0	0	0	56	234	0	0	0	0	0	0
C20orf57	0	0	0	90	81	0	0	0	0	0	0	0
PVT1	0	0	0	0	0	0	0	174	0	147	0	0
EVX1	0	1	181	0	56	284	0	0	0	0	0	0
PAIP1P1	63	0	118	0	0	0	0	0	0	0	0	0
LOC100128325	0	0	0	0	0	0	0	0	135	0	161	0
KCNJ16	87	0	0	0	0	141	0	0	0	0	0	0
RP11-34F13.2	0	0	0	93	0	129	0	0	0	0	0	0
LOC100419835	0	0	0	93	0	97	0	0	0	0	0	0
AC104655.2	120	239	0	0	0	0	0	0	0	0	0	0
WNT7B	0	86	0	0	346	0	0	0	0	0	0	0
LOC100128681	0	0	0	0	0	0	146	38	0	0	0	0
LOC100128674	0	0	104	0	92	0	0	0	0	0	0	0
TSNAX-DISC1	0	43	0	0	183	0	0	0	0	0	0	0
LINC00574	211	0	0	0	96	0	0	0	0	0	0	0
NRG3	0	0	0	0	0	0	156	40	0	0	0	0
EXTL3-AS1	0	0	0	0	88	127	0	0	0	0	0	0
KCNK16	0	0	0	0	0	0	0	38	164	0	0	0
FAM154B	0	0	0	93	0	82	0	0	0	0	0	0
DNAI2	0	0	0	60	94	0	0	0	0	0	0	0
ABHD17AP4	0	2	138	100	0	143	0	0	0	0	0	0
TDGF1	0	0	0	0	0	1	0	110	96	42	0	147
CLDN19	0	87	0	0	183	0	0	0	0	0	0	0
RPL9P4	0	0	0	0	0	0	177	0	15	0	0	0
CHRNA3	61	0	0	0	0	595	0	0	0	0	0	0
LOC100887076	0	212	0	0	81	0	0	0	0	0	0	0
UHRF2P1	0	0	0	66	0	82	0	0	0	0	0	0
FLJ45513	0	0	0	0	0	0	426	0	0	0	0	106
HAP1	32	170	0	86	80	0	0	0	0	0	0	0
SPATA12	0	0	70	193	0	0	0	0	0	0	0	0
TEX101	0	0	0	0	31	245	0	0	0	0	0	0
SPATA41	0	84	0	78	0	0	0	0	0	0	0	0
CLCN1	0	0	0	56	189	0	0	0	0	0	0	0
RP11-231I16.1	0	0	45	0	0	230	0	0	0	0	0	0
RPS20P2	170	0	0	0	41	0	0	0	0	0	0	0
LINC00698	0	0	0	0	0	0	156	0	0	0	0	62
LINC00692	0	0	0	0	0	0	315	62	0	0	0	0
LINC00689	0	54	0	0	0	166	0	0	0	0	0	0
MYOZ3	0	57	0	0	246	0	0	0	0	0	0	0
DCSTAMP	0	0	0	0	0	0	0	78	0	0	125	0
SFXN2	0	1	0	0	0	0	0	215	0	77	55	37
OR56A4	0	0	0	0	0	0	0	76	0	0	139	0
CERS1	21	66	70	20	1	147	0	2	0	0	0	0
FGF23	0	0	0	0	0	0	141	0	62	0	0	0
PRDM12	0	78	0	0	0	440	0	0	0	0	0	0
LOC100500719	227	0	0	0	30	0	0	0	0	0	0	0
C15orf52	0	0	0	26	0	176	0	0	0	0	0	0
NPTX2	0	0	0	0	0	0	405	0	0	0	0	71
ARSH	0	0	0	49	132	0	0	0	0	0	0	0
CLIP1	152	74	55	40	37	220	0	0	0	0	0	10
VN1R71P	0	0	0	0	0	0	212	0	0	0	100	0
SOHLH1	0	0	0	0	30	203	0	0	0	0	0	0
AC011343.1	0	0	0	83	40	0	0	0	0	0	0	0
XRCC6BP1	186	20	2	29	57	0	0	0	0	0	0	0
FAXC	14	67	8	54	0	416	0	0	0	0	0	0
PCDHB11	181	0	0	0	118	0	0	0	0	0	0	0
PNPLA3	0	0	0	0	0	0	0	0	0	42	181	0
TAF5LP1	0	0	69	66	0	0	0	0	0	0	0	0
OR7E109P	0	0	0	0	45	192	0	0	0	0	0	0
HSPD1P19	0	0	121	0	114	0	0	0	0	0	0	0
LOC101929009	0	0	0	0	0	0	0	0	103	0	0	94
LOC101929000	0	0	0	0	0	0	134	92	0	0	0	0
LOC101929005	0	73	0	0	0	343	0	0	0	0	0	0
TPD52L3	0	0	0	67	113	0	0	0	0	0	0	0
TPD52L1	0	0	0	0	86	151	0	0	0	0	0	0
CALCA	0	0	0	0	0	0	0	38	0	0	131	0
MAST2	0	172	0	0	199	0	0	0	0	0	0	0
PRR16	0	55	0	0	165	0	0	0	0	0	0	0
LOC101929104	0	0	0	0	0	0	228	98	0	0	0	0
LINC01132	0	0	132	0	56	0	0	0	0	0	0	0
LINC01015	0	0	0	139	38	0	0	0	0	0	0	0
OPRD1	0	0	0	93	100	0	0	0	0	0	0	0
DNM1P38	0	0	0	0	0	0	0	78	0	0	96	0
KIR3DL2	0	0	0	0	0	0	120	98	79	93	0	126
HM13	0	0	0	0	0	0	0	161	0	277	59	249
RP11-996F15.2	67	0	0	0	0	235	0	0	0	0	0	0
TMEM220-AS1	0	0	202	0	141	0	0	0	0	0	0	0
LOC101929614	0	167	0	91	0	0	0	0	0	0	0	0
LOC101927143	0	0	0	0	0	0	125	0	0	63	0	0
RIMS4	63	251	1	33	149	0	0	0	0	2	0	0
LOC101927178	50	0	0	0	0	148	0	0	0	0	0	0
RPL34P19	0	0	0	74	54	0	0	0	0	0	0	0
MFAP5	0	0	0	0	0	0	203	0	58	0	0	0
ZACN	0	0	0	0	0	0	0	101	0	240	0	0
HMX2	111	0	171	0	0	0	0	0	0	0	0	0
GRHL3	61	125	0	26	0	773	0	0	0	0	0	0
DAOA	0	0	0	0	58	164	0	0	0	0	0	0
ZAR1	0	0	0	0	244	84	0	0	0	0	0	0
RAB30-AS1	0	0	0	0	0	0	0	59	153	0	0	0
SLC29A4	0	0	392	0	72	0	0	0	0	0	0	0
LOC101929456	0	0	0	72	56	0	0	0	0	0	0	0
CHRDL2	0	0	0	24	0	259	0	0	0	0	0	0
OR2W2P	0	42	0	98	0	0	0	0	0	0	0	0
SLC6A3	0	0	0	0	74	280	0	0	0	0	0	0
LOC101929560	0	0	0	0	0	0	0	0	114	0	76	0
POU4F2	0	56	0	0	0	210	0	0	0	0	0	0
CREBRF	0	137	0	0	0	168	0	0	0	0	0	0
CCDC85A	0	0	0	0	0	0	0	98	0	0	0	149
LOC643353	388	239	0	0	0	0	0	0	0	0	0	0
FLJ36000	0	276	91	0	13	230	0	0	0	0	0	0
LOC101927578	171	0	85	0	160	93	0	0	0	0	0	0
AC012309.5	0	0	0	0	0	0	0	30	104	0	0	0
SIGLEC28P	0	56	0	123	0	0	0	0	0	0	0	0
LOC102723892	0	1	0	0	1	0	334	111	0	263	107	122
PCOLCE2	0	0	0	158	25	373	1	0	0	0	0	0
LOC102723860	0	0	0	0	0	0	0	0	69	0	0	92
LOC102723875	0	0	0	0	0	0	0	0	0	29	140	0
GLCCI1	0	111	99	0	260	147	0	0	0	1	0	0
LOC102723817	0	0	0	0	0	0	0	0	0	0	122	38
KIAA1217	0	0	0	0	32	212	0	0	0	0	0	0
AQPEP	0	0	0	79	0	346	0	0	0	0	0	0
CYP21A1P	0	0	0	0	0	0	0	0	0	21	0	146
LOC100507561	0	0	116	176	0	0	0	0	0	0	0	0
LOC101929949	69	0	0	0	231	0	0	0	0	0	0	0
