AccID	log2FC	Pvalue	FDR	Style	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
THUMPD2	-9.61218114906744	4.6645500249849e-07	0.000322646925228206	down	0.0	0.0	0.0	0.0	179.0	18.0	134.0	64.0
GALNT9	8.50835050882773	1.23398563475626e-05	0.00406451363600431	up	48.0	229.0	89.0	66.0	0.0	0.0	0.0	0.0
FAM131A	24.3671597228073	1.28296751433624e-19	8.87428629666374e-16	up	555.0	0.0	0.0	569.0	0.0	0.0	0.0	0.0
SMIM6	-23.2497577884702	3.88411694604568e-17	6.71660922894949e-14	down	0.0	0.0	0.0	0.0	427.0	0.0	58.0	0.0
GAL3ST4	-10.5479285934816	2.48910632127289e-06	0.00121231677699734	down	0.0	0.0	0.0	0.0	548.0	128.0	108.0	0.0
RP11-677M14.7	8.20370977502261	3.77861753964661e-05	0.00829736429261447	up	92.0	76.0	64.0	86.0	0.0	0.0	0.0	0.0
NPTX2	-23.3849678732934	2.57618174256444e-17	5.93981637110608e-14	down	0.0	0.0	0.0	0.0	405.0	0.0	0.0	71.0
ART1	-10.1953551443264	9.51367613832793e-06	0.00346347883414812	down	0.0	0.0	0.0	0.0	513.0	64.0	58.0	0.0
ANKRD39	9.56323923055756	2.44561075486564e-05	0.00626529244126133	up	123.0	297.0	0.0	507.0	0.0	0.0	0.0	0.0
USHBP1	8.74219056627328	4.18338409365648e-05	0.00894491318587187	up	169.0	273.0	0.0	420.0	1.0	0.0	0.0	0.0
NAIF1	9.16197473576085	7.57775411608261e-07	0.000499193573532794	up	167.0	58.0	132.0	230.0	0.0	0.0	0.0	0.0
UNC13A	7.70471589787882	2.3088536950372e-05	0.00602654377681974	up	131.0	120.0	57.0	80.0	0.0	1.0	0.0	0.0
PCF11	9.37083861077348	2.71352572417493e-08	2.34618217926475e-05	up	183.0	503.0	59.0	588.0	1.0	0.0	0.0	0.0
CD27-AS1	9.16801240255069	1.1941681114161e-05	0.00405520643461563	up	149.0	195.0	1.0	348.0	0.0	0.0	0.0	0.0
DPYSL5	-8.48278177905095	2.18513167760971e-05	0.00581329069770244	down	0.0	0.0	0.0	1.0	2.0	111.0	59.0	107.0
C16orf74	-7.57488233417458	6.64733037324992e-06	0.0025544213439872	down	0.0	5.0	1.0	0.0	4.0	136.0	145.0	357.0
CAND2	8.83599860648835	1.38829980372844e-05	0.00426794210772873	up	71.0	262.0	168.0	7.0	0.0	0.0	0.0	0.0
SLC29A4	23.591806369556	6.28115621059156e-17	8.68935150173236e-14	up	0.0	0.0	392.0	72.0	0.0	0.0	0.0	0.0
NUPR1L	9.07501304908993	1.7491046222555e-05	0.00493818639679237	up	251.0	229.0	123.0	1.0	0.0	0.0	0.0	0.0
SPATA5	8.23264971516854	4.64960370839785e-05	0.00945920848558469	up	126.0	151.0	48.0	29.0	0.0	0.0	0.0	0.0
NLRP3	8.44516420715071	1.20184663740958e-05	0.00405520643461563	up	79.0	186.0	66.0	80.0	0.0	0.0	0.0	0.0
LOC102723892	-8.66061362294025	1.53230916737629e-05	0.00451020532371991	down	0.0	1.0	0.0	1.0	334.0	0.0	107.0	122.0
SLC1A7	9.37776787567529	4.2028289510024e-05	0.00894491318587187	up	418.0	313.0	0.0	90.0	0.0	0.0	0.0	0.0
ARMCX4	8.8761375482809	1.3707342841131e-06	0.000824466873322638	up	122.0	227.0	70.0	136.0	0.0	0.0	0.0	0.0
TRAF6	8.3025031411813	3.71490005138608e-05	0.0082890205340121	up	82.0	96.0	22.0	167.0	0.0	0.0	0.0	0.0
