AccID	log2FC	Pvalue	FDR	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007
RPS7P11	-0.630883927440428	0.54385156029733	0.999945521717091	37.0	119.0	58.0	0.0	40.0	3.0	16.0	123.0	70.0	77.0	10.0	35.0
RPS7P10	-1.0191625007053	0.273000595387015	0.999945521717091	81.0	51.0	69.0	2.0	91.0	12.0	4.0	110.0	112.0	169.0	55.0	73.0
PAXBP1-AS1	-0.307545985367053	0.903193196315129	0.999945521717091	29.0	0.0	15.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	66.0	35.0
FLJ44006	3.20338817079621	0.270773430942671	0.999945521717091	0.0	0.0	0.0	30.0	0.0	108.0	0.0	0.0	0.0	19.0	0.0	0.0
STX6	-0.343123908733378	0.834334547741918	0.999945521717091	0.0	238.0	0.0	39.0	382.0	0.0	2.0	492.0	38.0	265.0	15.0	54.0
STX5	-0.43634622825453	0.627535707651087	0.999945521717091	584.0	693.0	411.0	148.0	253.0	1.0	340.0	1076.0	288.0	552.0	145.0	421.0
STX4	0.921615652217413	0.127438656864741	0.867202960356952	494.0	686.0	556.0	116.0	280.0	1365.0	436.0	375.0	146.0	353.0	178.0	214.0
STX3	1.33657270643547	0.632885492240402	0.999945521717091	0.0	136.0	44.0	0.0	136.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0
BID	-0.291355986592773	0.70841235606885	0.999945521717091	113.0	684.0	60.0	206.0	947.0	57.0	233.0	873.0	245.0	627.0	167.0	303.0
STX2	-0.0794712476496557	0.975403927490943	0.999945521717091	0.0	111.0	12.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	225.0	30.0
SPDEF	1.17475362250402	0.38173851991512	0.999945521717091	492.0	404.0	205.0	68.0	0.0	629.0	29.0	0.0	206.0	46.0	54.0	258.0
MBD3	-0.321861744087374	0.582799284317898	0.999945521717091	2758.0	5346.0	1917.0	610.0	1282.0	627.0	2887.0	1988.0	1772.0	1595.0	2408.0	1536.0
MBD4	-0.602059469404719	0.710547577991938	0.999945521717091	72.0	72.0	0.0	0.0	553.0	3.0	0.0	302.0	139.0	370.0	68.0	22.0
MBD5	2.50835351427813	0.387650513149784	0.999945521717091	0.0	0.0	36.0	0.0	122.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0
GATSL3	-0.107718961340785	0.969593599080686	0.999945521717091	0.0	319.0	0.0	0.0	0.0	0.0	0.0	82.0	75.0	0.0	0.0	36.0
MBD6	1.01097132490453	0.0932949142335172	0.696980186467301	168.0	673.0	231.0	106.0	491.0	420.0	128.0	64.0	159.0	113.0	156.0	172.0
BIK	-0.409074268283521	0.811109588108838	0.999945521717091	70.0	194.0	0.0	97.0	0.0	3.0	309.0	0.0	17.0	26.0	107.0	2.0
MBD1	-0.504656073183231	0.444091107135996	0.999945521717091	450.0	734.0	254.0	65.0	455.0	387.0	277.0	1423.0	62.0	889.0	196.0	411.0
MBD2	0.0406683425087419	0.971603694188011	0.999945521717091	379.0	333.0	2.0	49.0	53.0	173.0	0.0	237.0	59.0	180.0	68.0	283.0
RP11-600K15.1	-4.13903271037739	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
PRKRIR	-0.752461294251085	0.618440613537604	0.999945521717091	93.0	321.0	29.0	84.0	62.0	0.0	0.0	471.0	50.0	306.0	0.0	237.0
LOC257358	6.75142384121312	0.0247179413542879	0.339503256382404	0.0	137.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO27	-0.964487743599236	1	1	0.0	74.0	0.0	0.0	1.0	1.0	0.0	126.0	0.0	0.0	0.0	9.0
FBXO28	0.353267446975367	0.807250943504799	0.999945521717091	0.0	180.0	111.0	0.0	26.0	45.0	0.0	38.0	28.0	24.0	44.0	77.0
FBXO25	1.206997321536	0.466618734869376	0.999945521717091	237.0	384.0	0.0	2.0	118.0	367.0	0.0	1.0	115.0	154.0	0.0	57.0
FBXO24	3.15569826547745	0.200576053608525	0.999945521717091	75.0	54.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	21.0
FBXO21	-3.62007222477073	0.0301809158823712	0.354628050487586	0.0	0.0	0.0	1.0	60.0	10.0	0.0	411.0	73.0	302.0	62.0	28.0
FBXO22	0.159432279071729	0.949689301123208	0.999945521717091	0.0	0.0	0.0	6.0	247.0	0.0	0.0	132.0	0.0	78.0	0.0	38.0
FADS3	-1.20620971761648	0.562517526229853	0.999945521717091	453.0	211.0	0.0	62.0	0.0	0.0	983.0	37.0	42.0	0.0	271.0	0.0
FADS2	-0.185116277736537	0.8640404959877	0.999945521717091	277.0	55.0	368.0	28.0	161.0	418.0	0.0	211.0	413.0	212.0	247.0	187.0
MYBPHL	5.941609854488	1	1	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FNTA	0.58701081802019	0.398948901260728	0.999945521717091	61.0	59.0	111.0	150.0	244.0	342.0	74.0	234.0	85.0	138.0	84.0	121.0
FADS6	1.06780843112975	0.633756068339405	0.999945521717091	239.0	0.0	7.0	33.0	59.0	0.0	0.0	0.0	65.0	0.0	0.0	63.0
LOC100288146	6.38717333495455	1	1	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FNTB	-0.178608495626314	0.937527321096358	0.999945521717091	0.0	117.0	0.0	0.0	641.0	0.0	435.0	62.0	0.0	37.0	0.0	140.0
RP11-767I20.1	5.77842965828956	1	1	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FADS1	-1.26550201139269	0.544847243118384	0.999945521717091	0.0	0.0	0.0	5.0	145.0	0.0	5.0	1.0	0.0	85.0	96.0	84.0
FBXO18	0.785042593301366	0.241800825649543	0.999945521717091	669.0	1310.0	766.0	104.0	721.0	1726.0	109.0	1521.0	327.0	444.0	362.0	257.0
STX8	0.723556015356736	0.387609507377722	0.999945521717091	418.0	361.0	344.0	48.0	32.0	231.0	58.0	70.0	244.0	244.0	28.0	71.0
FBXO16	1.52353593052683	0.598373887939813	0.999945521717091	0.0	0.0	0.0	0.0	54.0	184.0	0.0	0.0	0.0	0.0	0.0	69.0
FBXO17	1.95337396678295	0.313393525725126	0.999945521717091	0.0	72.0	120.0	116.0	14.0	14.0	0.0	77.0	0.0	0.0	0.0	70.0
STX7	-1.1096851836438	0.414137296940927	0.999945521717091	171.0	156.0	0.0	9.0	548.0	0.0	591.0	336.0	14.0	299.0	182.0	133.0
FGD5P1	7.36911140115305	0.0126725681181293	0.266314165336991	0.0	0.0	0.0	60.0	62.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO15	-5.48704373931284	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0
LOC100288152	2.5490005304231	0.184750206556639	0.999945521717091	160.0	699.0	391.0	102.0	0.0	0.0	0.0	111.0	0.0	0.0	26.0	97.0
LOC100421587	-6.10908518235286	0.0422678996586442	0.404958612666256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	22.0	0.0	0.0
LOC100288151	4.28868047533726	1	1	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
FBXO10	1.16560914470673	0.596610974590026	0.999945521717091	0.0	117.0	96.0	27.0	104.0	309.0	0.0	462.0	0.0	0.0	0.0	0.0
FBXO11	-1.85131345251744	0.22829922397721	0.999945521717091	0.0	118.0	41.0	18.0	0.0	0.0	165.0	306.0	4.0	44.0	4.0	143.0
MINPP1	0.890177374792395	0.604441332267518	0.999945521717091	0.0	482.0	30.0	12.0	190.0	0.0	0.0	71.0	56.0	78.0	0.0	63.0
LOC642441	-0.46026177458898	0.750289631903908	0.999945521717091	71.0	52.0	2.0	0.0	223.0	418.0	18.0	590.0	1.0	210.0	1.0	313.0
LOC100421583	-5.76394409852387	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0
BLK	0.340443765375909	0.753931131220003	0.999945521717091	529.0	815.0	245.0	411.0	1101.0	0.0	649.0	1498.0	201.0	61.0	159.0	259.0
BLM	0.881500470978693	0.633682307033595	0.999945521717091	0.0	0.0	1.0	39.0	136.0	440.0	0.0	284.0	28.0	69.0	0.0	54.0
IREB2	-0.468707555952952	0.701915011589158	0.999945521717091	1.0	112.0	120.0	66.0	117.0	117.0	0.0	332.0	167.0	6.0	80.0	210.0
LOC100421597	-0.368656831265424	1	1	0.0	0.0	0.0	0.0	0.0	104.0	1.0	0.0	0.0	0.0	0.0	114.0
FBXO47	3.40132744533691	0.242915895190974	0.999945521717091	0.0	0.0	0.0	57.0	40.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
FBXO48	1.30400287668017	0.622209457778658	0.999945521717091	0.0	0.0	0.0	20.0	0.0	262.0	111.0	3.0	1.0	0.0	0.0	0.0
FBXO45	0.243907309307762	0.885612614207118	0.999945521717091	0.0	81.0	88.0	67.0	0.0	50.0	0.0	195.0	43.0	75.0	33.0	0.0
FBXO46	-0.28343104742753	0.784124309746691	0.999945521717091	0.0	250.0	184.0	93.0	93.0	28.0	50.0	439.0	76.0	243.0	57.0	78.0
FBXO43	0.500845349141443	0.863696864092566	1	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0
FBXO44	-1.64765627036823	0.112825344029585	0.802387040247915	153.0	1.0	82.0	93.0	125.0	2.0	486.0	435.0	221.0	326.0	145.0	106.0
FBXO41	-0.734610493477546	0.466447092355849	0.999945521717091	54.0	216.0	21.0	117.0	148.0	0.0	99.0	452.0	75.0	236.0	113.0	95.0
FBXO42	0.575596369655265	0.596306123054518	0.999945521717091	349.0	126.0	87.0	34.0	102.0	281.0	3.0	473.0	1.0	24.0	37.0	217.0
GRAMD4P3	1.34236361964991	1	1	0.0	216.0	1.0	4.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0
FBXO40	8.80414384793531	0.00182652522910945	0.0695417000932277	0.0	0.0	0.0	0.0	69.0	437.0	1.0	0.0	0.0	0.0	0.0	0.0
LOC100421591	5.17184886145191	1	1	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P7	-6.24561556053469	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0
LOC100421593	5.55141371250987	1	1	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P8	-7.19835904239722	1	1	0.0	0.0	0.0	0.0	0.0	1.0	137.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P5	-2.38059613020255	1	1	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0
MBIP	-2.62706549755325	0.153420661649421	0.970491004990551	0.0	0.0	0.0	13.0	39.0	0.0	126.0	54.0	0.0	25.0	101.0	47.0
BMF	0.566075193899561	0.603241092762558	0.999945521717091	161.0	135.0	90.0	222.0	208.0	212.0	139.0	596.0	109.0	156.0	6.0	0.0
TACC1P1	3.50264753652996	0.228695472350741	0.999945521717091	0.0	0.0	0.0	11.0	106.0	0.0	0.0	2.0	0.0	9.0	0.0	0.0
HTR1F	-0.876610551365838	1	1	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0
FBXO38	-1.33909084441141	0.636554445047915	0.999945521717091	96.0	0.0	0.0	0.0	0.0	0.0	0.0	261.0	23.0	18.0	0.0	0.0
OR3A5P	5.27150602614729	1	1	0.0	74.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1D	-6.44759662401905	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0
FBXO39	22.1840855689157	1	1	0.0	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STYX	-0.430109132406213	0.718585120742908	0.999945521717091	1.0	265.0	91.0	102.0	138.0	0.0	296.0	399.0	49.0	33.0	76.0	59.0
HTR1A	6.54953340470422	0.0143598679195277	0.288817185490391	0.0	231.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
LOC100288175	4.67283087948431	1	1	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1B	6.45430199972872	1	1	0.0	10.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO34	-5.45214576127108	0.0701758780243786	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	5.0	0.0
RGMB-AS1	-6.91858918537601	0.0213577360186081	0.326355531320445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	53.0
FBXO32	0.854235449535123	0.430809129428726	0.999945521717091	237.0	59.0	81.0	81.0	24.0	350.0	1.0	158.0	154.0	148.0	8.0	11.0
LOC100288172	2.32659632219635	1	1	0.0	0.0	59.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0
BMX	0.661507372726741	0.791146233033192	0.999945521717091	14.0	114.0	0.0	0.0	35.0	0.0	0.0	51.0	0.0	37.0	0.0	0.0
FBXO33	-1.45397226005416	0.332455997739143	0.999945521717091	172.0	72.0	0.0	24.0	0.0	4.0	0.0	217.0	145.0	129.0	51.0	128.0
LOC100288170	-2.21512023133005	1	1	0.0	0.0	0.0	0.0	38.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0
FBXO30	-2.16079074235161	0.301634897162559	0.999945521717091	0.0	49.0	0.0	0.0	72.0	0.0	0.0	107.0	122.0	66.0	0.0	85.0
FAM90A1	-6.7488954511361	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0
FBXO31	0.799855904027406	0.355764139715978	0.999945521717091	398.0	1325.0	255.0	206.0	339.0	409.0	1.0	472.0	176.0	335.0	189.0	297.0
LOC642461	5.62711313984028	0.0615486595184122	1	0.0	54.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP1-IT1	0.0332305735648071	1	1	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0
LOC284933	5.49489276689272	1	1	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP5-988G17.1	4.94185651576648	1	1	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC37BP1	1.41300552091062	1	1	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
HTR2B	5.51891248367362	1	1	0.0	0.0	2.0	21.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPWD1	0.305852037915549	0.906044770732142	0.999945521717091	74.0	86.0	0.0	0.0	0.0	0.0	0.0	1.0	34.0	0.0	0.0	38.0
HTR2C	-0.172343011156606	1	1	0.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0
LOC102724973	-21.9902521123388	1	1	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0	0.0	0.0
LOC102724972	-4.12460714963791	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
HTR2A	1.65612039080005	0.569227784363319	0.999945521717091	36.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	7.0
LOC642496	-0.116046019147052	0.966288080937188	0.999945521717091	0.0	27.0	1.0	0.0	22.0	0.0	0.0	42.0	9.0	0.0	0.0	0.0
LOC102724975	5.13873769133848	1	1	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288102	-2.11401726133788	0.466095805278369	0.999945521717091	0.0	0.0	0.0	1.0	36.0	0.0	77.0	0.0	0.0	0.0	42.0	0.0
LOC102724974	5.32521644191473	1	1	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOC	-1.17214754762646	0.539043089440128	0.999945521717091	0.0	434.0	0.0	1.0	0.0	11.0	0.0	130.0	142.0	142.0	1.0	149.0
SPDL1	1.61504206622949	0.41615985377031	0.999945521717091	0.0	36.0	0.0	1.0	126.0	230.0	0.0	68.0	19.0	46.0	0.0	0.0
MBL2	-0.250937903240459	1	1	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0
BOK	1.43918325020171	0.0370576579092131	0.3856796384836	368.0	389.0	90.0	123.0	370.0	494.0	91.0	173.0	47.0	41.0	27.0	257.0
SLC36A1	1.44916017556827	0.616322977778139	0.999945521717091	0.0	283.0	0.0	25.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0
SLC36A3	1.25825337825526	0.655222461093578	0.999945521717091	34.0	0.0	64.0	0.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	130.0
SLC36A2	3.08317577240211	1	1	125.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
HTR3E	2.7626195675103	0.259044772135418	0.999945521717091	0.0	101.0	0.0	0.0	41.0	137.0	1.0	52.0	0.0	0.0	0.0	0.0
VPS13C	0.394897484074234	0.59201133865819	0.999945521717091	194.0	253.0	93.0	273.0	166.0	222.0	162.0	402.0	107.0	265.0	15.0	202.0
VPS13D	0.325286614417839	0.838555248530066	0.999945521717091	0.0	194.0	50.0	36.0	560.0	0.0	67.0	489.0	0.0	167.0	5.0	38.0
DHPS	-0.412279097750403	0.584932520087397	0.999945521717091	560.0	1046.0	115.0	85.0	469.0	41.0	165.0	1436.0	228.0	473.0	312.0	158.0
VPS13A	0.994516063850588	0.0561032161771466	0.475779324887181	212.0	295.0	140.0	88.0	156.0	330.0	81.0	121.0	57.0	108.0	124.0	56.0
HTR3C	-2.97169867878746	1	1	0.0	0.0	26.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0
HTR3D	-2.79119366555798	0.321135001014925	0.999945521717091	0.0	0.0	1.0	0.0	57.0	0.0	0.0	222.0	146.0	0.0	0.0	0.0
VPS13B	0.139471102047403	0.934986747349904	0.999945521717091	0.0	79.0	148.0	52.0	70.0	0.0	0.0	287.0	0.0	38.0	32.0	98.0
LOC100421541	-5.60502427999256	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0
HTR3A	1.6228615055947	0.573792158431519	0.999945521717091	63.0	0.0	0.0	0.0	28.0	40.0	0.0	0.0	0.0	0.0	26.0	0.0
HTR3B	-5.13789604584803	0.0203750333761966	0.319265518113781	0.0	0.0	0.0	4.0	0.0	0.0	0.0	93.0	41.0	0.0	72.0	69.0
RABGGTA	-0.0101047162058479	0.987769458670682	0.999945521717091	374.0	875.0	549.0	168.0	402.0	149.0	332.0	286.0	66.0	537.0	398.0	583.0
CD24P4	-1.6792527315581	0.282306457282697	0.999945521717091	1.0	3.0	20.0	1.0	0.0	1.0	1.0	17.0	54.0	2.0	3.0	1.0
CD24P1	4.17636896551797	1	1	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD24P2	7.10215739768775	0.0181289562639104	0.312137062485247	150.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288115	-3.38409562269323	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
LOC642487	-4.36978409859476	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0
C1D	-1.46689749998069	0.497336252018172	0.999945521717091	0.0	90.0	0.0	31.0	0.0	0.0	0.0	296.0	35.0	72.0	0.0	38.0
LOC257396	6.63759203494411	0.027262985779151	0.346322928469644	0.0	102.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BPI	-1.28238931612536	0.569977983303239	0.999945521717091	1.0	130.0	0.0	0.0	160.0	0.0	0.0	461.0	0.0	106.0	88.0	0.0
CYP51A1P1	-6.6228641312975	0.0276122077701771	0.346322928469644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	51.0
C1S	0.555196210916554	0.519210811840241	0.999945521717091	697.0	966.0	708.0	182.0	140.0	942.0	758.0	56.0	419.0	117.0	54.0	649.0
C1R	0.540316866075163	0.469823743489692	0.999945521717091	1861.0	1023.0	1343.0	262.0	191.0	1112.0	1211.0	319.0	657.0	187.0	411.0	619.0
LOC100421552	-6.58721045387529	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0
KCNQ5-IT1	-5.22321683212337	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
IL2RG	-0.211522593408459	0.741721698740314	0.999945521717091	402.0	432.0	558.0	214.0	232.0	149.0	274.0	482.0	353.0	137.0	517.0	419.0
CYP51A1P2	2.49680179716946	1	1	118.0	0.0	0.0	0.0	13.0	0.0	0.0	5.0	0.0	17.0	0.0	0.0
LOC100421558	-4.36978409859476	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0
LOC100288129	-5.22365436120245	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0
