GeneID	GeneType	H003	ACF001	ACF002	ACF004	ACF005	ACF006	ACF007	ALI001	ALI002	ALI003	ALI004	ALI006	ALI007	H001	H002	H004	H005	H006
DHDH	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25	0.0
LOC100421504	ncRNA	0.0	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421503	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77	0.0	0.0	0.0	0.0	0.0	0.0
BCR	mRNA	1055	486	579	0.0	32	923	456	129	1491	97	422	4	50	485	267	66	310	987
VOPP1	mRNA	760	477	672	636	348	1573	1250	1392	708	590	244	264	632	1065	521	317	234	681
LOC100421517	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17	28	0.0
LOC402715	ncRNA	0.0	0.0	0.0	0.0	0.0	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421518	ncRNA	0.0	0.0	0.0	57	4	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COL13A1	mRNA	268	0.0	1	0.0	0.0	81	0.0	128	0.0	58	34	12	0.0	0.0	0.0	75	44	106
TARSL2	mRNA	167	269	123	73	51	118	1	8	413	50	0.0	135	173	297	1	28	110	150
LOC100421511	ncRNA	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421510	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421513	ncRNA	3	0.0	0.0	0.0	36	39	0.0	0.0	0.0	0.0	0.0	22	0.0	0.0	0.0	0.0	0.0	0.0
FAM187B2P	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	295	0.0	0.0	0.0
LOC100421512	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HCGVIII-2	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T	mRNA	0.0	0.0	0.0	45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132352	miscRNA	184	63	126	0.0	0.0	35	5	448	351	0.0	93	141	14	0.0	0.0	11	190	176
LOC100132354	lncRNA	1	36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53	0.0	0.0	0.0	0.0	0.0
LOC100132356	lncRNA	45	153	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	42
GTF2IRD2B	mRNA	22	60	0.0	90	0.0	304	4	22	53	110	3	0.0	113	137	0.0	50	96	12
SRP72P2	ncRNA	112	118	0.0	0.0	1	10	107	0.0	0.0	42	0.0	0.0	4	0.0	0.0	0.0	0.0	54
LOC100335030	miscRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55	0.0	0.0	0.0	0.0	0.0
SRP72P1	ncRNA	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421527	ncRNA	0.0	104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421523	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPAG5-AS1	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421525	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHFR	mRNA	72	1	4	0.0	208	23	1	0.0	202	76	0.0	34	36	317	0.0	17	56	58
STRC	mRNA	2	0.0	4	8	0.0	0.0	0.0	0.0	62	222	0.0	47	0.0	0.0	0.0	22	0.0	0.0
STRN	mRNA	390	122	218	15	63	176	3	142	438	51	96	130	228	348	147	15	175	357
LOC100288181	lncRNA	4	0.0	67	0.0	0.0	0.0	0.0	0.0	49	0.0	0.0	133	0.0	0.0	43	42	0.0	0.0
BBC3	mRNA	348	254	118	328	1	633	350	1	451	58	227	104	0.0	200	0.0	76	119	318
MYBPC3	mRNA	4	0.0	60	0.0	0.0	288	0.0	0.0	76	0.0	154	116	0.0	0.0	322	0.0	37	0.0
MYBPC1	mRNA	2	199	214	0.0	7	82	0.0	5	0.0	37	0.0	44	15	0.0	0.0	0.0	0.0	0.0
MYBPC2	mRNA	178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85	0.0	27	0.0	127	0.0	0.0	71	0.0	169
FLJ20021	lncRNA	113	150	68	61	95	0.0	1	0.0	141	0.0	0.0	178	120	0.0	50	61	21	0.0
BGN	mRNA	146	337	586	22	150	70	618	374	119	128	205	167	194	0.0	138	642	94	0.0
LOC100288192	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEFF1	mRNA	3	0.0	84	0.0	43	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEFF2	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRDD2	ncRNA	0.0	0.0	0.0	0.0	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132306	ncRNA	0.0	133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102	0.0	0.0	0.0	0.0	0.0	0.0
TRDD3	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRDD1	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS7P11	ncRNA	96	37	119	58	0.0	40	3	16	123	70	77	10	35	325	9	59	8	84
RPS7P12	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS7P10	ncRNA	20	81	51	69	2	91	12	4	110	112	169	55	73	228	5	164	44	2
LOC642423	miscRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PAXBP1-AS1	lncRNA	0.0	29	0.0	15	0.0	78	0.0	0.0	0.0	0.0	0.0	66	35	0.0	15	0.0	0.0	0.0
FLJ44006	miscRNA	0.0	0.0	0.0	0.0	30	0.0	108	0.0	0.0	0.0	19	0.0	0.0	0.0	0.0	0.0	0.0	0.0
STX6	mRNA	251	0.0	238	0.0	39	382	0.0	2	492	38	265	15	54	336	309	186	200	135
STX5	mRNA	184	584	693	411	148	253	1	340	1076	288	552	145	421	972	604	317	366	142
STX4	mRNA	290	494	686	556	116	280	1365	436	375	146	353	178	214	898	632	96	214	257
STX3	mRNA	5	0.0	136	44	0.0	136	0.0	0.0	0.0	0.0	0.0	67	0.0	290	0.0	0.0	103	0.0
BID	mRNA	214	113	684	60	206	947	57	233	873	245	627	167	303	321	152	38	186	188
STX2	mRNA	276	0.0	111	12	112	0.0	0.0	0.0	0.0	0.0	0.0	225	30	190	56	60	49	264
RPS7P15	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RPS7P13	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SPDEF	mRNA	133	492	404	205	68	0.0	629	29	0.0	206	46	54	258	0.0	590	98	231	73
RPS7P14	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MBD3	mRNA	2364	2758	5346	1917	610	1282	627	2887	1988	1772	1595	2408	1536	2715	1107	1598	999	1847
MBD4	mRNA	159	72	72	0.0	0.0	553	3	0.0	302	139	370	68	22	138	98	0.0	149	138
MBD5	mRNA	6	0.0	0.0	36	0.0	122	0.0	0.0	0.0	0.0	26	0.0	0.0	184	0.0	0.0	0.0	0.0
GATSL3	mRNA	5	0.0	319	0.0	0.0	0.0	0.0	0.0	82	75	0.0	0.0	36	261	0.0	0.0	80	0.0
MBD6	mRNA	332	168	673	231	106	491	420	128	64	159	113	156	172	387	0.0	403	97	313
BIK	mRNA	2	70	194	0.0	97	0.0	3	309	0.0	17	26	107	2	0.0	0.0	16	0.0	0.0
MBD1	mRNA	966	450	734	254	65	455	387	277	1423	62	889	196	411	841	1483	642	157	884
MBD2	mRNA	194	379	333	2	49	53	173	0.0	237	59	180	68	283	1505	292	142	105	165
RP11-600K15.1	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20	0.0	0.0	0.0	0.0	25	0.0	0.0
LOC642414	ncRNA	32	0.0	0.0	1	0.0	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	24	5
PRKRIR	mRNA	625	93	321	29	84	62	0.0	0.0	471	50	306	0.0	237	965	0.0	93	185	475
LOC257358	lncRNA	0.0	0.0	137	0.0	0.0	57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO27	mRNA	1	0.0	74	0.0	0.0	1	1	0.0	126	0.0	0.0	0.0	9	0.0	27	0.0	0.0	0.0
FBXO28	mRNA	345	0.0	180	111	0.0	26	45	0.0	38	28	24	44	77	96	169	106	0.0	220
FBXO25	mRNA	296	237	384	0.0	2	118	367	0.0	1	115	154	0.0	57	0.0	2	90	26	162
LOC100421574	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO24	mRNA	0.0	75	54	0.0	52	0.0	0.0	0.0	0.0	0.0	1	0.0	21	0.0	0.0	0.0	108	0.0
MCHR2-AS1	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO21	mRNA	216	0.0	0.0	0.0	1	60	10	0.0	411	73	302	62	28	381	24	58	224	194
FBXO22	mRNA	6	0.0	0.0	0.0	6	247	0.0	0.0	132	0.0	78	0.0	38	391	75	21	61	0.0
FADS3	mRNA	6	453	211	0.0	62	0.0	0.0	983	37	42	0.0	271	0.0	0.0	549	31	82	0.0
FADS2	mRNA	12	277	55	368	28	161	418	0.0	211	413	212	247	187	383	138	109	214	2
MYBPHL	mRNA	4	84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189	0.0	0.0	0.0	0.0
FNTA	mRNA	562	61	59	111	150	244	342	74	234	85	138	84	121	469	0.0	221	287	379
FADS6	mRNA	177	239	0.0	7	33	59	0.0	0.0	0.0	65	0.0	0.0	63	0.0	0.0	42	0.0	92
LOC100288146	ncRNA	0.0	0.0	0.0	0.0	42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FNTB	mRNA	89	0.0	117	0.0	0.0	641	0.0	435	62	0.0	37	0.0	140	0.0	0.0	0.0	15	104
RP11-767I20.1	lncRNA	0.0	75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FADS1	mRNA	17	0.0	0.0	0.0	5	145	0.0	5	1	0.0	85	96	84	133	0.0	152	0.0	0.0
FBXO18	mRNA	665	669	1310	766	104	721	1726	109	1521	327	444	362	257	1035	680	433	491	329
STX8	mRNA	1	418	361	344	48	32	231	58	70	244	244	28	71	0.0	1	138	102	0.0
FBXO16	mRNA	1	0.0	0.0	0.0	0.0	54	184	0.0	0.0	0.0	0.0	0.0	69	0.0	0.0	0.0	0.0	0.0
FBXO17	mRNA	3	0.0	72	120	116	14	14	0.0	77	0.0	0.0	0.0	70	0.0	0.0	127	0.0	0.0
STX7	mRNA	176	171	156	0.0	9	548	0.0	591	336	14	299	182	133	1506	477	216	401	148
FGD5P1	miscRNA	191	0.0	0.0	0.0	60	62	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113	0.0	60
FBXO15	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288152	miscRNA	122	160	699	391	102	0.0	0.0	0.0	111	0.0	0.0	26	97	103	223	73	63	118
LOC100421587	ncRNA	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92	0.0	22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288151	ncRNA	3	0.0	0.0	0.0	20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.0	0.0	0.0	0.0	0.0
FBXO10	mRNA	10	0.0	117	96	27	104	309	0.0	462	0.0	0.0	0.0	0.0	1	0.0	92	18	0.0
FBXO11	mRNA	116	0.0	118	41	18	0.0	0.0	165	306	4	44	4	143	17	384	89	139	98
MINPP1	mRNA	257	0.0	482	30	12	190	0.0	0.0	71	56	78	0.0	63	512	197	30	11	246
LOC100421580	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC642441	mRNA	428	71	52	2	0.0	223	418	18	590	1	210	1	313	712	971	98	47	309
LOC100421583	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BLK	mRNA	867	529	815	245	411	1101	0.0	649	1498	201	61	159	259	535	323	76	467	745
BLM	mRNA	20	0.0	0.0	1	39	136	440	0.0	284	28	69	0.0	54	671	0.0	0.0	31	0.0
IREB2	mRNA	174	1	112	120	66	117	117	0.0	332	167	6	80	210	348	0.0	71	270	163
LOC100421597	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	104	1	0.0	0.0	0.0	0.0	114	0.0	0.0	0.0	58	0.0
FBXO47	mRNA	1	0.0	0.0	0.0	57	40	0.0	0.0	0.0	0.0	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO48	mRNA	2	0.0	0.0	0.0	20	0.0	262	111	3	1	0.0	0.0	0.0	0.0	0.0	20	0.0	0.0
AC007040.7	lncRNA	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO45	mRNA	104	0.0	81	88	67	0.0	50	0.0	195	43	75	33	0.0	121	0.0	16	158	96
FBXO46	mRNA	16	0.0	250	184	93	93	28	50	439	76	243	57	78	151	10	91	250	0.0
LOC100288162	lncRNA	91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89	0.0
FBXO43	mRNA	166	0.0	0.0	0.0	13	0.0	0.0	0.0	0.0	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	158
FBXO44	mRNA	562	153	1	82	93	125	2	486	435	221	326	145	106	1	13	117	94	201
FBXO41	mRNA	401	54	216	21	117	148	0.0	99	452	75	236	113	95	146	140	289	51	378
FBXO42	mRNA	381	349	126	87	34	102	281	3	473	1	24	37	217	609	1	4	242	360
GRAMD4P3	ncRNA	6	0.0	216	1	4	0.0	0.0	0.0	87	0.0	0.0	0.0	0.0	91	0.0	0.0	0.0	0.0
FBXO40	mRNA	3	0.0	0.0	0.0	0.0	69	437	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421591	ncRNA	0.0	0.0	0.0	0.0	0.0	50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P1	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P2	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P7	ncRNA	122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60	0.0	0.0	0.0	0.0	0.0	29	0.0	0.0
LOC642474	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100421593	ncRNA	0.0	0.0	96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P8	ncRNA	13	0.0	0.0	0.0	0.0	0.0	1	137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9
LOC100421595	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P5	ncRNA	0.0	0.0	37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100	0.0	0.0	0.0	0.0	0.0
GRAMD4P6	ncRNA	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0
LOC100421594	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MBIP	mRNA	1	0.0	0.0	0.0	13	39	0.0	126	54	0.0	25	101	47	0.0	0.0	0.0	25	0.0
BMF	mRNA	371	161	135	90	222	208	212	139	596	109	156	6	0.0	0.0	2518	158	245	303
KIR2DL5B	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TACC1P1	ncRNA	49	0.0	0.0	0.0	11	106	0.0	0.0	2	0.0	9	0.0	0.0	0.0	0.0	0.0	0.0	5
HTR1E	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1F	mRNA	0.0	0.0	0.0	0.0	0.0	48	0.0	0.0	0.0	0.0	0.0	0.0	67	0.0	0.0	43	0.0	0.0
FBXO38	mRNA	166	96	0.0	0.0	0.0	0.0	0.0	0.0	261	23	18	0.0	0.0	0.0	0.0	0.0	119	154
OR3A5P	ncRNA	0.0	0.0	74	0.0	0.0	0.0	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1D	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO39	mRNA	1	0.0	0.0	0.0	0.0	186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126	0.0	0.0	0.0
STYX	mRNA	239	1	265	91	102	138	0.0	296	399	49	33	76	59	169	0.0	8	110	141
HTR1A	mRNA	0.0	0.0	231	0.0	42	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	20	50	0.0
FBXO36	mRNA	0.0	0.0	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7	0.0
LOC100288175	miscRNA	0.0	0.0	52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	170	0.0	0.0	0.0
HTR1B	mRNA	0.0	0.0	10	0.0	0.0	0.0	102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO34	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69	0.0	0.0	5	0.0	0.0	0.0	0.0	0.0	0.0
RGMB-AS1	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53	53	0.0	0.0	17	5	0.0
FBXO32	mRNA	5	237	59	81	81	24	350	1	158	154	148	8	11	0.0	0.0	50	0.0	3
LOC100288172	ncRNA	84	0.0	0.0	59	0.0	0.0	0.0	0.0	23	0.0	0.0	0.0	0.0	0.0	0.0	65	0.0	0.0
BMX	mRNA	0.0	14	114	0.0	0.0	35	0.0	0.0	51	0.0	37	0.0	0.0	0.0	0.0	27	0.0	0.0
FBXO33	mRNA	238	172	72	0.0	24	0.0	4	0.0	217	145	129	51	128	0.0	0.0	53	90	218
LOC100288170	ncRNA	1	0.0	0.0	0.0	0.0	38	0.0	142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO30	mRNA	70	0.0	49	0.0	0.0	72	0.0	0.0	107	122	66	0.0	85	159	0.0	21	93	67
FAM90A1	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85	0.0	0.0	0.0	0.0	0.0	73	0.0	0.0
FBXO31	mRNA	473	398	1325	255	206	339	409	1	472	176	335	189	297	654	722	403	365	346
LOC642461	ncRNA	51	0.0	54	0.0	0.0	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGAP1-IT1	lncRNA	0.0	0.0	0.0	53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43	0.0	0.0	0.0	37	74	0.0
LOC284933	lncRNA	0.0	0.0	0.0	44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38	0.0	0.0
RP5-988G17.1	lncRNA	0.0	0.0	0.0	30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LRRC37BP1	miscRNA	133	0.0	0.0	0.0	0.0	42	0.0	0.0	0.0	0.0	0.0	0.0	12	0.0	0.0	0.0	16	127
HTR2B	mRNA	0.0	0.0	0.0	2	21	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724971	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPWD1	mRNA	9	74	86	0.0	0.0	0.0	0.0	0.0	1	34	0.0	0.0	38	0.0	105	91	35	8
LOC102724970	mRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46	0.0	0.0	0.0
HTR2C	mRNA	0.0	0.0	190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110	70	0.0	0.0	0.0	0.0
LOC102724973	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724972	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR2A	mRNA	123	36	0.0	31	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0	7	20	0.0	21	0.0	64
LOC100421537	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93	0.0	0.0	0.0	0.0
LOC100421536	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724979	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724978	ncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC642496	ncRNA	0.0	0.0	27	1	0.0	22	0.0	0.0	42	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724975	mRNA	0.0	0.0	72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288102	lncRNA	1	0.0	0.0	0.0	1	36	0.0	77	0.0	0.0	0.0	42	0.0	0.0	0.0	1	16	1
LOC102724974	lncRNA	0.0	0.0	82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC102724977	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOC	mRNA	4	0.0	434	0.0	1	0.0	11	0.0	130	142	142	1	149	307	218	92	0.0	0.0
LOC102724976	lncRNA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
