AccID	log2FC	Pvalue	FDR	ACF001	ACF002	ACF004	ACF006	ALI001	ALI003	ALI006	ALI007
MBD5	7.29825714396171	0.0277376855999687	0.346320525803219	0.0	0.0	36.0	122.0	0.0	0.0	0.0	0.0
GATSL3	0.32490131883295	0.911750554891477	0.999856696914365	0.0	319.0	0.0	0.0	0.0	75.0	0.0	36.0
MBD6	0.642743048214635	0.485106454556511	0.999856696914365	168.0	673.0	231.0	491.0	128.0	159.0	156.0	172.0
BIK	-1.57937166817012	0.421213662199974	0.999856696914365	70.0	194.0	0.0	0.0	309.0	17.0	107.0	2.0
MBD1	0.403760436098634	0.669512011442972	0.999856696914365	450.0	734.0	254.0	455.0	277.0	62.0	196.0	411.0
MBD2	0.173933854740071	0.917110697293681	0.999856696914365	379.0	333.0	2.0	53.0	0.0	59.0	68.0	283.0
PRKRIR	0.0624545119401299	0.9730297232646	0.999856696914365	93.0	321.0	29.0	62.0	0.0	50.0	0.0	237.0
LOC257358	7.09548905712959	0.0357946352859401	1	0.0	137.0	0.0	57.0	0.0	0.0	0.0	0.0
FBXO27	2.09956818085368	1	1	0.0	74.0	0.0	1.0	0.0	0.0	0.0	9.0
FBXO28	0.453684585582083	0.808956282945622	0.999856696914365	0.0	180.0	111.0	26.0	0.0	28.0	44.0	77.0
FBXO25	1.20567934423861	0.565873953749391	0.999856696914365	237.0	384.0	0.0	118.0	0.0	115.0	0.0	57.0
FBXO24	2.01718050004104	0.5321966035107	1	75.0	54.0	0.0	0.0	0.0	0.0	0.0	21.0
FBXO21	-2.17046682622429	0.394707039808169	0.999856696914365	0.0	0.0	0.0	60.0	0.0	73.0	62.0	28.0
FBXO22	2.26841638004467	1	1	0.0	0.0	0.0	247.0	0.0	0.0	0.0	38.0
FADS3	-1.56281114771303	0.472417094177026	0.999856696914365	453.0	211.0	0.0	0.0	983.0	42.0	271.0	0.0
FADS2	-0.438214694673793	0.773669738679446	0.999856696914365	277.0	55.0	368.0	161.0	0.0	413.0	247.0	187.0
MYBPHL	20.8776705570519	1	1	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FNTA	-0.109070790013128	0.918633511533395	0.999856696914365	61.0	59.0	111.0	244.0	74.0	85.0	84.0	121.0
FADS6	0.693641613131065	0.758032469333314	0.999856696914365	239.0	0.0	7.0	59.0	0.0	65.0	0.0	63.0
FNTB	-0.0547126900737261	0.982391527899024	0.999856696914365	0.0	117.0	0.0	641.0	435.0	0.0	0.0	140.0
RP11-767I20.1	6.12571266838148	1	1	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FADS1	-0.987042201810353	0.704558850587253	0.999856696914365	0.0	0.0	0.0	145.0	5.0	0.0	96.0	84.0
FBXO18	1.03652142206553	0.266439144099017	0.999856696914365	669.0	1310.0	766.0	721.0	109.0	327.0	362.0	257.0
STX8	0.939050115075411	0.438120749911557	0.999856696914365	418.0	361.0	344.0	32.0	58.0	244.0	28.0	71.0
FBXO16	-0.784375551489217	1	1	0.0	0.0	0.0	54.0	0.0	0.0	0.0	69.0
FBXO17	1.34064589221439	0.604805807847276	0.999856696914365	0.0	72.0	120.0	14.0	0.0	0.0	0.0	70.0
STX7	-0.624662189720446	0.689746827172288	0.999856696914365	171.0	156.0	0.0	548.0	591.0	14.0	182.0	133.0
FGD5P1	5.80476685312379	1	1	0.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0
LOC100288152	2.79140499268354	0.176530431574556	0.999856696914365	160.0	699.0	391.0	0.0	0.0	0.0	26.0	97.0
FBXO10	8.19534702589633	0.000992850382132218	0.0632861711192369	0.0	117.0	96.0	104.0	0.0	0.0	0.0	0.0
FBXO11	-1.5675195302041	0.430639758978559	0.999856696914365	0.0	118.0	41.0	0.0	165.0	4.0	4.0	143.0
MINPP1	1.65425150515825	0.437115553959469	0.999856696914365	0.0	482.0	30.0	190.0	0.0	56.0	0.0	63.0
LOC642441	-0.420188498920802	0.810459029613061	0.999856696914365	71.0	52.0	2.0	223.0	18.0	1.0	1.0	313.0
LOC100421583	-6.61854939689683	1	1	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0
BLK	0.50820496313641	0.591705671665651	0.999856696914365	529.0	815.0	245.0	1101.0	649.0	201.0	159.0	259.0
BLM	0.191308675380685	0.945289281571015	0.999856696914365	0.0	0.0	1.0	136.0	0.0	28.0	0.0	54.0
IREB2	-0.930844425217298	0.57594597370189	0.999856696914365	1.0	112.0	120.0	117.0	0.0	167.0	80.0	210.0
LOC100421597	-7.7028860928634	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	114.0
FBXO47	5.17273735049055	1	1	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
FBXO48	-7.60643775949608	1	1	0.0	0.0	0.0	0.0	111.0	1.0	0.0	0.0
FBXO45	0.497581725187431	0.848938381268038	0.999856696914365	0.0	81.0	88.0	0.0	0.0	43.0	33.0	0.0
FBXO46	0.424237884208926	0.773875990109299	0.999856696914365	0.0	250.0	184.0	93.0	50.0	76.0	57.0	78.0
FBXO43	-5.09661602251975	0.134067399533883	1	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0
FBXO44	-1.79416572643514	0.173735149729292	0.999856696914365	153.0	1.0	82.0	125.0	486.0	221.0	145.0	106.0
FBXO41	-0.596219098622511	0.573888436256752	0.999856696914365	54.0	216.0	21.0	148.0	99.0	75.0	113.0	95.0
FBXO42	0.899284962777707	0.547462337000722	0.999856696914365	349.0	126.0	87.0	102.0	3.0	1.0	37.0	217.0
GRAMD4P3	7.08667883299687	1	1	0.0	216.0	1.0	0.0	0.0	0.0	0.0	0.0
FBXO40	5.23771059744694	1	1	0.0	0.0	0.0	69.0	1.0	0.0	0.0	0.0
LOC100421591	5.49453198397751	1	1	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
GRAMD4P7	-20.8770540807931	1	1	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0
LOC100421593	5.90443760905611	1	1	0.0	96.0	0.0	0.0	0.0	0.0	0.0	0.0
GRAMD4P8	-21.6423308924434	1	1	0.0	0.0	0.0	0.0	137.0	0.0	0.0	0.0
GRAMD4P5	-2.39114972538353	1	1	0.0	37.0	0.0	0.0	0.0	0.0	0.0	100.0
MBIP	-3.36605159875764	0.162397665731551	0.999856696914365	0.0	0.0	0.0	39.0	126.0	0.0	101.0	47.0
BMF	0.675302987867614	0.658272966237933	0.999856696914365	161.0	135.0	90.0	208.0	139.0	109.0	6.0	0.0
TACC1P1	21.1461551672796	1	1	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0
HTR1F	-0.911835397116461	1	1	0.0	0.0	0.0	48.0	0.0	0.0	0.0	67.0
FBXO38	1.34417192359314	1	1	96.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
OR3A5P	5.52983769672762	1	1	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1D	-21.0700744938299	1	1	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0
FBXO39	21.9034730403529	1	1	0.0	0.0	0.0	186.0	0.0	0.0	0.0	0.0
STYX	-0.573784008055568	0.672373852415262	0.999856696914365	1.0	265.0	91.0	138.0	296.0	49.0	76.0	59.0
HTR1A	5.69775669740929	1	1	0.0	231.0	0.0	0.0	0.0	0.0	1.0	1.0
LOC100288175	5.02248710027954	1	1	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR1B	2.66587718873513	0.436842001552939	1	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
RGMB-AS1	-7.78528959813601	0.0185889735391815	0.266486901493302	0.0	0.0	0.0	0.0	0.0	0.0	53.0	53.0
FBXO32	0.552328459735969	0.723631369154438	0.999856696914365	237.0	59.0	81.0	24.0	1.0	154.0	8.0	11.0
LOC100288172	6.27887652137765	1	1	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0
BMX	6.85384970382839	0.022238376922031	1	14.0	114.0	0.0	35.0	0.0	0.0	0.0	0.0
FBXO33	-1.15989239435579	0.58815461799969	0.999856696914365	172.0	72.0	0.0	0.0	0.0	145.0	51.0	128.0
LOC100288170	-2.26878516092647	1	1	0.0	0.0	0.0	38.0	142.0	0.0	0.0	0.0
FBXO30	-1.60393404764447	0.52322937717605	0.999856696914365	0.0	49.0	0.0	72.0	0.0	122.0	0.0	85.0
FAM90A1	-21.3629406257439	1	1	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0
FBXO31	0.98323213707822	0.449255724742005	0.999856696914365	398.0	1325.0	255.0	339.0	1.0	176.0	189.0	297.0
LOC642461	5.96670992425783	0.0782169951907789	1	0.0	54.0	0.0	32.0	0.0	0.0	0.0	0.0
AGAP1-IT1	0.0429031670776858	1	1	0.0	0.0	53.0	0.0	0.0	0.0	43.0	0.0
LOC284933	5.85473005575271	1	1	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0
RP5-988G17.1	5.30047389686567	1	1	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
LRRC37BP1	1.3718537752237	1	1	0.0	0.0	0.0	42.0	0.0	0.0	0.0	12.0
PPWD1	0.318138661399812	0.904521237674691	0.999856696914365	74.0	86.0	0.0	0.0	0.0	34.0	0.0	38.0
HTR2C	-0.174527470817573	1	1	0.0	190.0	0.0	0.0	0.0	0.0	0.0	110.0
LOC102724973	-22.2289717228246	1	1	0.0	0.0	0.0	0.0	209.0	0.0	0.0	0.0
HTR2A	3.11792592776893	0.341987116862223	1	36.0	0.0	31.0	0.0	0.0	0.0	0.0	7.0
LOC642496	1.4685425113024	0.65295202135923	1	0.0	27.0	1.0	22.0	0.0	9.0	0.0	0.0
LOC102724975	5.490418459166	1	1	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC100288102	-2.26188174210615	0.459707830977731	0.999856696914365	0.0	0.0	0.0	36.0	77.0	0.0	42.0	0.0
LOC102724974	5.67754910028371	1	1	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0
BOC	-0.565777961909961	0.828498182520303	0.999856696914365	0.0	434.0	0.0	0.0	0.0	142.0	1.0	149.0
SPDL1	2.22644436076205	0.475244276295178	0.999856696914365	0.0	36.0	0.0	126.0	0.0	19.0	0.0	0.0
MBL2	-0.242455814840737	1	1	0.0	58.0	0.0	0.0	0.0	28.0	0.0	0.0
BOK	0.960796459860026	0.370251109251822	0.999856696914365	368.0	389.0	90.0	370.0	91.0	47.0	27.0	257.0
SLC36A1	21.9670049815187	1	1	0.0	283.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC36A3	-0.44640359626794	0.88193932909321	0.999856696914365	34.0	0.0	64.0	0.0	0.0	0.0	0.0	130.0
SLC36A2	6.99539065319995	0.038810463972816	1	125.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR3E	5.92152299004233	0.0711159983713767	1	0.0	101.0	0.0	41.0	1.0	0.0	0.0	0.0
VPS13C	-0.0261095889408992	0.980410111651542	0.999856696914365	194.0	253.0	93.0	166.0	162.0	107.0	15.0	202.0
VPS13D	2.3880684589605	0.200164528208343	0.999856696914365	0.0	194.0	50.0	560.0	67.0	0.0	5.0	38.0
DHPS	0.512764065433288	0.597185143037639	0.999856696914365	560.0	1046.0	115.0	469.0	165.0	228.0	312.0	158.0
VPS13A	0.667105048621835	0.489521144428829	0.999856696914365	212.0	295.0	140.0	156.0	81.0	57.0	124.0	56.0
HTR3C	-2.98850921856973	1	1	0.0	0.0	26.0	0.0	233.0	0.0	0.0	0.0
HTR3D	-2.08607171731374	1	1	0.0	0.0	1.0	57.0	0.0	146.0	0.0	0.0
VPS13B	0.858283140516633	0.693222052513938	0.999856696914365	0.0	79.0	148.0	70.0	0.0	0.0	32.0	98.0
HTR3A	1.03652950283898	0.749056458552043	1	63.0	0.0	0.0	28.0	0.0	0.0	26.0	0.0
HTR3B	-8.59987462727636	0.000657626197832052	0.0524921496459144	0.0	0.0	0.0	0.0	0.0	41.0	72.0	69.0
RABGGTA	0.118859209578432	0.904682656767967	0.999856696914365	374.0	875.0	549.0	402.0	332.0	66.0	398.0	583.0
CD24P4	-1.63434289237138	1	1	1.0	3.0	20.0	0.0	1.0	54.0	3.0	1.0
CD24P1	4.49505326310506	0.185651521427881	1	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
CD24P2	7.45256932704863	0.0210364570016058	0.286640943452825	150.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0
C1D	-0.829475225368211	0.794356171406426	0.999856696914365	0.0	90.0	0.0	0.0	0.0	35.0	0.0	38.0
LOC257396	5.99171917600424	1	1	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0
BPI	0.706656241194043	0.790604051951448	0.999856696914365	1.0	130.0	0.0	160.0	0.0	0.0	88.0	0.0
CYP51A1P1	-6.53117258888918	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0
C1S	-0.0534872590467409	0.960910172716901	0.999856696914365	697.0	966.0	708.0	140.0	758.0	419.0	54.0	649.0
C1R	0.176822030682772	0.863659817140967	0.999856696914365	1861.0	1023.0	1343.0	191.0	1211.0	657.0	411.0	619.0
LOC100421552	-21.135182921576	1	1	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0
KCNQ5-IT1	-6.08882930562712	1	1	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0
IL2RG	-0.459636872687817	0.625460115619524	0.999856696914365	402.0	432.0	558.0	232.0	274.0	353.0	517.0	419.0
CYP51A1P2	6.92571317951187	0.0408013878180706	1	118.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
CYP1D1P	7.71236627852406	0.0040906552275512	0.119388448139121	0.0	22.0	40.0	159.0	0.0	0.0	0.0	0.0
LOC100288125	4.70903746342159	1	1	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0
LOC100288123	20.9671075877851	1	1	0.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC36A4	-1.47674588317248	0.567413701912541	1	0.0	0.0	0.0	36.0	2.0	29.0	20.0	10.0
GPKOW	0.812960074611052	0.57998688464286	0.999856696914365	54.0	246.0	315.0	435.0	0.0	128.0	152.0	115.0
TRDJ1	6.30065609796544	1	1	84.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
HTR5A	-8.81454049355524	0.000450718271319019	0.0424165752750157	0.0	0.0	0.0	0.0	186.0	27.0	28.0	0.0
BRE	-6.9114453613592	1	1	1.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0
IL2RA	7.45451972148065	0.000463981305683697	0.043369712046137	1.0	219.0	81.0	50.0	0.0	1.0	0.0	0.0
LOC100421561	4.75791739090658	1	1	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
IL2RB	0.673915274769077	0.642213158858067	0.999856696914365	173.0	199.0	249.0	677.0	0.0	138.0	125.0	295.0
LOC727896	-0.782044683390931	1	1	0.0	1.0	88.0	28.0	0.0	159.0	0.0	0.0
LGALSL	1.21086931388241	0.46613629274271	0.999856696914365	91.0	58.0	48.0	280.0	122.0	1.0	0.0	37.0
PEX26	-0.661976934313028	0.488018182611612	0.999856696914365	521.0	158.0	260.0	624.0	641.0	310.0	377.0	445.0
LOC102724935	22.4483671202284	1	1	1.0	0.0	0.0	276.0	0.0	0.0	0.0	0.0
LGALS4	-0.350460579194685	0.716951551861568	0.999856696914365	14853.0	21436.0	13664.0	2190.0	12104.0	11707.0	10061.0	10092.0
C4B	-1.66758544669171	0.309436375719379	0.999856696914365	267.0	42.0	8.0	0.0	17.0	228.0	88.0	328.0
C4A	0.346753717080458	0.869209075947376	0.999856696914365	86.0	64.0	0.0	1.0	5.0	1.0	55.0	1.0
LGALS3	-0.616908506049501	0.570186415381744	0.999856696914365	3764.0	5464.0	2752.0	211.0	6181.0	2822.0	1720.0	1832.0
LGALS2	-0.0353507265677618	0.972287962466638	0.999856696914365	263.0	393.0	863.0	319.0	590.0	434.0	224.0	212.0
IL36A	6.10668457941358	0.0714402098598362	1	0.0	57.0	0.0	37.0	0.0	0.0	0.0	0.0
LGALS1	0.288189843698535	0.730398870039059	0.999856696914365	1506.0	4401.0	1463.0	2321.0	1440.0	873.0	1351.0	1271.0
MCIDAS	-7.0506228101813	1	1	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0
IL36B	0.116015590278156	0.971471014041645	1	0.0	0.0	0.0	48.0	8.0	20.0	0.0	0.0
HMGN2P45	-7.11422674004209	0.0357387289870453	1	0.0	0.0	0.0	0.0	0.0	0.0	42.0	22.0
LOC102724930	-1.1869581431928	0.528721837078795	0.999856696914365	0.0	70.0	355.0	0.0	585.0	170.0	40.0	132.0
LOC102724933	-21.1044622121156	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0
HMGN2P43	5.95904983868885	1	1	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0
LOC102724932	5.91902025967697	1	1	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0
BSG	-0.0193136288902342	0.98196775171335	0.999856696914365	9060.0	10552.0	5897.0	3243.0	5861.0	3886.0	4434.0	5179.0
LOC100506985	21.0830652667289	1	1	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0
HMGN2P41	1.85745428117505	0.226382832462573	0.999856696914365	84.0	332.0	68.0	276.0	0.0	3.0	33.0	95.0
AC002480.3	5.5491502917299	1	1	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
LGALS9	-0.254880759602477	0.759538937121486	0.999856696914365	3020.0	4705.0	3548.0	2638.0	3858.0	2366.0	1945.0	3369.0
BSN	1.38108489744165	0.58130851834672	0.999856696914365	0.0	0.0	86.0	257.0	71.0	0.0	0.0	41.0
LOC102724939	6.45855888347517	0.0565137186991446	1	0.0	89.0	0.0	36.0	0.0	0.0	0.0	0.0
INHBA-AS1	2.39279723779298	0.348407434298715	0.999856696914365	127.0	50.0	0.0	57.0	0.0	25.0	0.0	0.0
BSX	-8.83085996349026	0.00245496632100909	0.0953695316607501	0.0	0.0	0.0	0.0	87.0	0.0	0.0	168.0
LOC102724946	5.06031606126698	1	1	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
BTD	-3.60501281859358	0.0991698267846774	0.933275771251175	85.0	0.0	0.0	1.0	629.0	0.0	70.0	109.0
CFDP1	-0.717378249515735	0.476677963943375	0.999856696914365	169.0	346.0	196.0	64.0	247.0	150.0	305.0	111.0
LOC102724942	5.46539669125272	1	1	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0
CRISPLD1	6.98544367120106	0.0390895209764851	1	0.0	50.0	0.0	106.0	0.0	0.0	0.0	0.0
CRISPLD2	-2.84481455375835	0.136988256224516	0.999856696914365	215.0	1.0	0.0	0.0	439.0	80.0	395.0	154.0
SUB1	1.30615862206413	0.27372166259938	0.999856696914365	616.0	517.0	276.0	181.0	4.0	119.0	103.0	186.0
LOC102724943	21.4735917525912	1	1	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BTK	1.31371638289598	0.441147419969888	0.999856696914365	86.0	418.0	41.0	805.0	1.0	173.0	117.0	0.0
LOC727874	4.91550853470458	0.147411583579498	1	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0
DHX8	-0.860532111602463	0.45129845316088	0.999856696914365	82.0	536.0	73.0	528.0	893.0	69.0	137.0	349.0
DHX9	0.170570765446933	0.911710967388086	0.999856696914365	229.0	67.0	41.0	654.0	0.0	145.0	169.0	255.0
LOC727838	7.64226966958277	0.00457816257591759	0.124824570014686	99.0	15.0	0.0	109.0	0.0	0.0	0.0	0.0
NKAIN2	-7.10040600773884	0.0361016071064476	1	0.0	0.0	0.0	0.0	0.0	18.0	0.0	53.0
LOC102724957	6.0802536596188	0.0726814978322891	1	0.0	68.0	0.0	28.0	0.0	0.0	0.0	0.0
NKAIN1	20.9960275629867	1	1	0.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC390282	3.75873936102122	0.269599750598854	1	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0
LOC100288203	0.423014280135605	0.85145449831087	0.999856696914365	0.0	277.0	1.0	107.0	171.0	1.0	0.0	1.0
RACGAP1	0.703422833775783	0.634055747635294	0.999856696914365	0.0	193.0	104.0	226.0	52.0	38.0	38.0	86.0
LOC102724952	4.49505326310506	0.185651521427881	1	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
LOC102724955	-6.21665167423617	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0
OR5G4P	5.52363603023006	1	1	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
SLC10A4	-21.1703845117842	1	1	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0
BBS2	-0.960961989902427	0.604663921369705	0.999856696914365	116.0	22.0	0.0	81.0	0.0	38.0	115.0	115.0
BBS1	1.18354026787126	0.615465616668727	0.999856696914365	0.0	0.0	41.0	212.0	5.0	5.0	60.0	0.0
XBP1	-0.664956341064526	0.47535922015892	0.999856696914365	255.0	1038.0	318.0	1140.0	1015.0	729.0	379.0	659.0
SLC10A7	6.10821805390818	0.025080771178437	1	0.0	68.0	22.0	47.0	0.0	0.0	0.0	1.0
HSD17B1P1	-1.10718695865464	0.713347191720148	0.999856696914365	0.0	65.0	0.0	41.0	0.0	0.0	106.0	0.0
SLC10A1	4.27996980014977	1	1	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0
SPDYC	22.7690498350133	1	1	0.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0
RP11-173B14.5	21.2332328938339	1	1	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0
SLC10A2	4.81476262411046	1	1	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
SLC10A3	0.199999771432683	0.890206357162049	0.999856696914365	484.0	448.0	264.0	99.0	0.0	210.0	270.0	221.0
SUCO	0.467935493044449	0.75787739942263	0.999856696914365	120.0	347.0	104.0	148.0	1.0	1.0	175.0	127.0
LOC102724967	0.26721402644905	0.919297956372364	0.999856696914365	1.0	1.0	74.0	0.0	0.0	29.0	24.0	0.0
